synthetic,variant,policy,fills,contracts,net_c,net_lo_c,net_hi_c,events,usd_per_day,fills_per_day,contracts_per_day,gross_edge_c,fee_c,markout_1s_c,markout_10s_c,quotes_placed,cancels,quote_hours,usd_per_quote_hour,days,d_net_vs_ref_c,d_lo_c,d_hi_c,d_se_c,d_p,d_events,d_day_lo_c,d_day_hi_c,day_blocks,d_usd_day_lo,d_usd_day_hi,d_usd_per_day_vs_ref,d_contracts_per_day_vs_ref,holds_only_under_A,clip_multiple,clip_contracts,flow_share,inventory_sd_ct,mean_abs_position_ct
True,x1,B,138,460.18,3.6464,-1.22227,10.9038,4,402.72,3312,11044.3,2.47381,0.256921,0.103962,0.886242,1696,1615,5.43439,3.08774,0.0416667,,,,,,,,,,,,,,False,1,5,0.00493258,30.4711,74.869
True,x1,C,129,413.5,2.75937,-6.07725,13.56,4,273.84,3096,9924,2.00816,0.243047,0.078999,0.252656,1782,1706,5.52179,2.06636,0.0416667,,,,,,,,,,,,,,False,1,5,0.00443223,28.9467,72.4692
True,x2,B,195,926.34,4.26733,-2.27683,29.3006,4,948.72,4680,22232.2,2.06489,0.145659,-0.00357549,0.358129,1629,1552,5.44822,7.25558,0.0416667,0.620932,-7.13211,2.33098,0.537336,0.165767,4,,,1,-321.997,1849.97,546,11187.8,False,2,10,0.00992926,57.6994,148.323
True,x2,C,186,871,3.45695,-11.1463,12.6191,4,722.64,4464,20904,2.03311,0.145809,-0.0436247,0.199703,1704,1621,5.7673,5.22082,0.0416667,0.697575,-3.77562,5.17077,1.40558,0.326888,4,,,1,55.9254,1067.79,448.8,10980,False,2,10,0.00933608,54.0125,141.37
True,x5,B,313,2097.4,4.76876,-2.6039,178.094,4,2400.48,7512,50337.6,1.88965,0.0874464,-0.00364094,0.00333641,1944,1885,6.70128,14.9255,0.0416667,1.12236,-1.63599,4.59781,0.86674,0.142999,4,,,1,-1534.87,16742.2,1997.76,39293.3,False,5,25,0.0224816,104.541,305.11
True,x5,C,279,1784.5,1.16503,-30.657,7.11231,4,498.96,6696,42828,1.89693,0.0753713,-0.127245,-0.27278,1931,1873,6.6024,3.14885,0.0416667,-1.59434,-7.8123,2.64635,1.33252,0.841277,4,,,1,-2914.4,2128.24,225.12,32904,False,5,25,0.0191277,116.409,277.996
True,x10,B,446,3531.05,3.67313,-0.149569,7.49583,4,3112.8,10704,84745.2,2.01301,0.0818057,0.0109589,0.0839135,2143,2097,7.70357,16.8364,0.0416667,0.0267292,-5.04033,5.00135,1.26651,0.492244,4,,,1,-5498.83,5710.42,2710.08,73700.9,False,10,50,0.0378486,226.976,491.207
True,x10,C,441,3370,2.67893,0.587593,3.9908,4,2166.72,10584,80880,1.96519,0.0673591,-0.0317628,-0.196065,2156,2108,7.7774,11.608,0.0416667,-0.0804395,-16.5499,8.49092,2.02792,0.514574,4,,,1,1112.08,49630.1,1892.88,70956,False,10,50,0.0361224,223.674,449.678
True,x20,B,688,6364.16,3.28622,-0.243154,17.9065,4,5019.36,16512,152740,2.51861,0.0973781,-0.0831869,0.587106,2757,2709,9.80291,21.3345,0.0416667,-0.360184,-7.1914,5.52388,1.81357,0.572365,4,,,1,-912.658,28943.1,4616.64,141696,False,20,100,0.0682162,297.314,676.007
True,x20,C,673,5749,2.20786,-0.744294,5.19171,4,3046.32,16152,137976,2.16198,0.0702731,-0.158027,-0.249352,2800,2751,9.9063,12.8131,0.0416667,-0.551509,-51.0715,6.72761,2.28727,0.587499,4,,,1,-856.208,11808.7,2772.48,128052,False,20,100,0.0616224,298.864,631.735
True,x50,B,821,8180.39,5.75987,0.287019,20.4067,4,11308.3,19704,196329,3.14993,0.114704,-0.0486002,1.03855,3025,2978,10.9607,42.9883,0.0416667,2.11347,-37.5726,21.5381,2.79039,0.251932,4,,,1,-11191.9,57962.7,10905.6,185285,False,50,250,0.087684,304.022,767.097
True,x50,C,772,6798,3.32568,1.59507,17.7364,4,5425.92,18528,163152,2.24447,0.0645778,-0.124457,-0.0887092,3093,3050,10.971,20.6071,0.0416667,0.566313,-31.392,12.0958,2.56132,0.419604,4,,,1,-3.54108,28492.7,5152.08,153228,False,50,250,0.0728664,306.411,692.375
