synthetic,policy,level_c,basis,max_clip_multiple,max_clip_contracts,contracts_per_day,usd_per_day
True,B,1,point,50,250,202913,11783.5
True,B,1,ci_lower,50,250,202913,11783.5
True,B,0.75,point,50,250,202913,11783.5
True,B,0.75,ci_lower,50,250,202913,11783.5
True,B,0.5,point,50,250,202913,11783.5
True,B,0.5,ci_lower,50,250,202913,11783.5
True,B,0.05,point,50,250,202913,11783.5
True,B,0.05,ci_lower,50,250,202913,11783.5
True,B,0,point,50,250,202913,11783.5
True,B,0,ci_lower,50,250,202913,11783.5
True,C,1,point,50,250,163152,5425.92
True,C,1,ci_lower,,,,
True,C,0.75,point,50,250,163152,5425.92
True,C,0.75,ci_lower,,,,
True,C,0.5,point,50,250,163152,5425.92
True,C,0.5,ci_lower,,,,
True,C,0.05,point,50,250,163152,5425.92
True,C,0.05,ci_lower,,,,
True,C,0,point,50,250,163152,5425.92
True,C,0,ci_lower,,,,
