synthetic,variant,policy,family,regime,fills,contracts,events,mean,lo,hi
True,x1,B,tau_bucket,1-5m,17,59.5,4,4.68908,-15.3461,69.7463
True,x1,B,tau_bucket,10-30m,97,321.69,4,2.72001,-20.4277,19.5141
True,x1,B,tau_bucket,5-10m,24,78.99,4,6.63375,-7.95595,112.875
True,x1,B,vol_tercile,high,33,98.98,3,1.9802,-12.1002,1.21045e+08
True,x1,B,vol_tercile,low,43,142.91,2,6.50759,-122.991,136.006
True,x1,B,vol_tercile,mid,34,121.82,3,5.56559,-30.4543,41.5854
True,x1,B,vol_tercile,n/a,28,96.47,1,-1.30611,,
True,x1,B,weekday,weekday,138,460.18,4,3.6464,-1.22227,10.9038
True,x1,C,tau_bucket,1-5m,7,20.5,3,-6.73171,-101.669,32.3961
True,x1,C,tau_bucket,10-30m,98,317,4,3.45741,-8.2483,23.6582
True,x1,C,tau_bucket,5-10m,24,76,4,2.40789,-0.810645,21.9583
True,x1,C,vol_tercile,high,34,102,3,0.784314,-13.1828,14.7514
True,x1,C,vol_tercile,low,39,122,1,4.58197,,
True,x1,C,vol_tercile,mid,28,95,2,6.67368,-27.5801,40.9275
True,x1,C,vol_tercile,n/a,28,94.5,1,-1.39683,,
True,x1,C,weekday,weekday,129,413.5,4,2.75937,-5.62958,13.56
True,x2,B,tau_bucket,1-5m,21,95.23,3,9.87084,-5.60477e+06,17.7928
True,x2,B,tau_bucket,10-30m,131,647.63,4,3.60082,-6.91855,17.1094
True,x2,B,tau_bucket,30-60s,1,2.99,1,1.67224,,
True,x2,B,tau_bucket,5-10m,42,180.49,4,3.74536,-1.69105,30.655
True,x2,B,vol_tercile,high,44,217.91,3,4.86898,-10.2001,19.9381
True,x2,B,vol_tercile,low,51,221.89,1,4.52026,,
True,x2,B,vol_tercile,mid,56,262.65,2,6.68951,-40.6744,5.49155e+08
True,x2,B,vol_tercile,n/a,44,223.89,1,0.589575,,
True,x2,B,weekday,weekday,195,926.34,4,4.26733,-1.51653,29.5524
True,x2,C,tau_bucket,1-5m,15,71,3,5.38028,-17.1111,96.5979
True,x2,C,tau_bucket,10-30m,118,603,4,2.93532,-18.4509,12.541
True,x2,C,tau_bucket,30-60s,1,2,1,1.5,,
True,x2,C,tau_bucket,5-10m,52,195,4,4.38974,0.774692,16.9816
True,x2,C,vol_tercile,high,38,190,3,2.54211,-6.77707,15.9074
True,x2,C,vol_tercile,low,48,207,1,5.28502,,
True,x2,C,vol_tercile,mid,54,248,3,5.1129,-8.51488,21992.4
True,x2,C,vol_tercile,n/a,46,226,1,0.734513,,
True,x2,C,weekday,weekday,186,871,4,3.45695,-10.9654,12.6396
True,x5,B,tau_bucket,1-5m,34,238.32,2,1.22105,-1.29865e+07,7.51564
True,x5,B,tau_bucket,10-30m,171,1230.6,4,4.80497,-2.12846,46.2639
True,x5,B,tau_bucket,30-60s,2,1.99,1,2.01005,,
True,x5,B,tau_bucket,5-10m,106,626.49,4,6.05596,-7.97912,337.088
True,x5,B,vol_tercile,high,76,520.21,2,6.82801,-49.4586,63.1146
True,x5,B,vol_tercile,low,87,510.02,2,3.92141,-98258,1.25775e+07
True,x5,B,vol_tercile,mid,82,532.78,2,6.59747,-46.4427,59.6376
True,x5,B,vol_tercile,n/a,68,534.39,1,1.74966,,
True,x5,B,weekday,weekday,313,2097.4,4,4.76876,-2.6039,178.094
True,x5,C,tau_bucket,1-5m,14,107.5,3,-13.107,-2433.95,72.497
True,x5,C,tau_bucket,10-30m,161,1117,4,1.84512,-3.33236,6.80203
True,x5,C,tau_bucket,5-10m,104,560,4,2.54821,1.00557,4.23012
True,x5,C,vol_tercile,high,73,458,3,-0.30786,-23.6572,23.0415
True,x5,C,vol_tercile,low,74,422.5,2,4.39053,-11.0156,19.7966
True,x5,C,vol_tercile,mid,74,454,3,1.47577,-1.50046e+07,1.65305e+08
True,x5,C,vol_tercile,n/a,58,450,1,-0.677778,,
True,x5,C,weekday,weekday,279,1784.5,4,1.16503,-28.8155,7.11231
True,x10,B,tau_bucket,1-5m,41,373.26,3,0.897498,-7.44147e+08,113.739
True,x10,B,tau_bucket,10-30m,190,1700.12,4,5.37727,0.393346,11.5142
True,x10,B,tau_bucket,5-10m,215,1457.67,4,2.39629,0.738922,10.3764
True,x10,B,vol_tercile,high,113,844.37,2,6.68546,-39.9491,53.32
True,x10,B,vol_tercile,low,119,855.43,2,4.75433,-20.6416,4.38911e+07
True,x10,B,vol_tercile,mid,106,827.87,3,-0.816553,-16.6741,11.7805
True,x10,B,vol_tercile,n/a,108,1003.38,1,3.92075,,
True,x10,B,weekday,weekday,446,3531.05,4,3.67313,-0.149569,7.49583
True,x10,C,tau_bucket,1-5m,70,552,4,3.75181,-3.43353,193.263
True,x10,C,tau_bucket,10-30m,183,1562,4,2.80986,-0.423493,50.871
True,x10,C,tau_bucket,5-10m,188,1256,4,2.04459,1.37006,3.0185
True,x10,C,vol_tercile,high,114,825,3,3.59758,-42.0144,883.544
