synthetic,horizon,model,n_oos,rmse_usd,mae_usd,rmse_gain_pct,gain_lo_pct,gain_hi_pct
True,0.2s,last_print,14397,4.04977,3.22703,0,0,0
True,0.2s,median_mid,14397,2.46589,1.84075,39.1102,38.2434,40.0739
True,0.2s,replica,14397,2.2179,1.7093,45.234,44.5891,45.9986
True,0.2s,ridge,14397,2.04604,1.59172,49.4776,48.8875,50.1021
True,0.2s,lgbm,14397,2.0672,1.60912,48.955,48.3108,49.6648
True,0.5s,last_print,14395,6.99197,5.55979,0,0,0
True,0.5s,median_mid,14395,5.2628,4.19191,24.7307,24.0839,25.4145
True,0.5s,replica,14395,5.27048,4.19666,24.6209,24.0017,25.2768
True,0.5s,ridge,14395,5.23242,4.1718,25.1652,24.4577,25.9549
True,0.5s,lgbm,14395,5.28157,4.2043,24.4623,23.6381,25.3583
True,1s,last_print,14393,9.02378,7.21577,0,0,0
True,1s,median_mid,14393,7.77627,6.1937,13.8247,13.169,14.4703
True,1s,replica,14393,7.78091,6.20138,13.7732,13.1581,14.3799
True,1s,ridge,14393,7.77343,6.18763,13.8562,13.1056,14.5816
True,1s,lgbm,14393,7.87714,6.26377,12.7068,11.7475,13.6786
True,next_print,last_print,14398,4.04963,3.22686,0,0,0
True,next_print,median_mid,14398,2.46583,1.84072,39.1096,38.2429,40.0733
True,next_print,replica,14398,2.21784,1.70927,45.2334,44.5891,45.9984
True,next_print,ridge,14398,2.04606,1.59176,49.4753,48.8858,50.0995
True,next_print,lgbm,14398,2.06839,1.61036,48.9239,48.2898,49.6398
