synthetic,ts,ticker,event,side,px,contracts,fee,is_taker,F,tau_s,gross_edge_c,settle,to_settle_c,hedge_cost,hedge_pnl,net,net_c_per_ct,mo_0.1s_c,mo_0.5s_c,mo_1s_c,mo_5s_c,mo_10s_c,mo_30s_c,mo_60s_c,event_ticker,expiration_ns,day,weekend,rv_1h,fv_status,flow_status,coid,order_id,trade_id,queue_ahead_ct,order_age_s,pos_before_ct,F_cycle,F_lo,F_hi,delta_btc,z,fv_age_s,mechanism,quote_position,q_eff_at_place_ct,modeled_value_c,policy,yes_px_c,queue_at_place_ct,quote_age_s,adv_ext_0.1s,adv_ext_0.5s,adv_ext_1s,adv_ext_5s,kalshi_imb_side,spread_ticks,venue_imb_adv,taker_ct_10s,taker_ct_60s,takers_against_10s,log_tau,abs_z,yes_px,sigma_ann,fv_edge_c,t_match,at_match,mkpx_0.1s_c,mkpx_0.5s_c,mkpx_1s_c,mkpx_5s_c,mkpx_10s_c,mkpx_30s_c,mkpx_60s_c,mkpx_settle_c,fee_c,net_mk_10s_c,net_mk_60s_c,adverse_10s_c,toxic
True,1790251217800000000,KXBTCD-26SEP241215-T83000,exp 2026-09-24T12:15:00Z,1,0.98,0.98,0.0096,False,0.996899,882.2,1.6899,1,0.3101,0,0,0.01,1.02041,0,-0.0016,-0.0016,-0.0427,-0.0327,-0.0255,0.0158,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-3,sim-o8,sim-f1,0,2.82,0,0.996849,0.993616,0.999986,1.24364e-05,-3.55876,0.32,queue,touch,3,0.988874,B,98,3,2.82,-0,1.44201,5.78329,14.5098,1,,-0,0,0,0,6.7824,3.55876,0.98,0.571662,1.68491,1790251217820000000,1,1.6899,1.6883,1.6883,1.6472,1.6572,1.6644,1.7057,2,0.979592,0.677608,0.726108,-0.0327,1
True,1790251218400000000,KXBTCD-26SEP241215-T83000,exp 2026-09-24T12:15:00Z,1,0.98,1,0,False,0.996883,881.6,1.6883,1,0.3117,0,0,0.02,2,0,0,0.0051,-0.042,-0.0168,-0.0341,0.0301,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-3,sim-o8,sim-f2,0,3.42,0.98,0.996883,0.993678,0.999987,1.2283e-05,-3.56837,0.42,queue,touch,3,0.988874,B,98,3,3.42,-0.418407,-6.30671,-9.57854,3.91256,1,,-0,1,1,1,6.78172,3.56837,0.98,0.571662,1.68827,1790251218420000000,1,1.6883,1.6883,1.6934,1.6463,1.6715,1.6542,1.7184,2,0,1.6715,1.7184,-0.0168,1
True,1790251220600000000,KXBTCD-26SEP241215-T85000,exp 2026-09-24T12:15:00Z,-1,0.02,4.99,0.0098,False,0.003202,879.4,1.6798,0,0.3202,0,0,0.09,1.80361,-0,0.008,0.008,0.035,0.0186,0.047,0.0846,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-4,sim-o11,sim-f3,0,5.62,0,0.00318149,1.48163e-05,0.00644187,1.26024e-05,3.55017,0.12,queue,touch,8,0.879114,B,2,8,5.62,-1.27144,0.801033,-14.8955,-22.7855,1,,0,0,0,0,6.77922,3.55017,0.02,0.571662,1.68185,1790251220620000000,1,1.6798,1.6878,1.6878,1.7148,1.6984,1.7268,1.7644,2,0.196393,1.50201,1.56801,0.0186,0
True,1790251222600000000,KXBTCD-26SEP241215-T84000,exp 2026-09-24T12:15:00Z,-1,0.51,5,0.03,False,0.460924,877.4,4.9076,1,-53.9076,0,0,-2.48,-49.6,-0,0.4453,0.1222,-2.123,-3.6866,-2.3719,1.5492,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-24,sim-o24,sim-f4,0,1.12,0,0.460924,0.454071,0.473997,0.00176023,0.078306,0.12,queue,touch,1,2.47501,B,51,1,1.12,1.5476,6.85689,1.96107,-27.0456,0.166667,4,0,28,28,2,6.77694,0.078306,0.51,0.571662,4.90759,1790251222620000000,1,4.9076,5.3529,5.0298,2.7846,1.221,2.5357,6.4568,-49,0.6,0.621,5.8568,-3.6866,1
True,1790251227900000000,KXBTCD-26SEP241215-T83000,exp 2026-09-24T12:15:00Z,1,0.98,3.02,0.0004,False,0.996572,872.1,1.6572,1,0.3428,0,0,0.06,1.98675,0.0143,0.0143,0.0143,0.0322,0.0034,0.0312,0.065,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-3,sim-o8,sim-f5,0,12.92,1.98,0.996698,0.993329,0.999982,1.32218e-05,-3.51717,0.42,queue,touch,3,0.988874,B,98,3,12.92,0.686397,-0,-11.9333,-11.7693,1,,-0,1,2,1,6.77088,3.51717,0.98,0.571662,1.66978,1790251227920000000,1,1.6715,1.6715,1.6715,1.6894,1.6606,1.6884,1.7222,2,0.013245,1.64735,1.70895,0.0034,0
True,1790251229800000000,KXBTCD-26SEP241215-T85000,exp 2026-09-24T12:15:00Z,-1,0.02,2.99,0.0098,False,0.003071,870.2,1.6929,0,0.3071,0,0,0.05,1.67224,-0,0.0055,0.0055,-0.0071,0.0434,0.0328,0.0624,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-23,sim-o23,sim-f6,0,8.82,-4.99,0.00312019,1.3526e-05,0.00632472,1.23814e-05,3.56777,0.32,queue,touch,44,0.962269,B,2,44,8.82,-0.346712,-2.09474,0.483587,18.4668,1,,0,5,5,5,6.7687,3.56777,0.02,0.571662,1.68798,1790251229820000000,1,1.6929,1.6984,1.6984,1.6858,1.7363,1.7257,1.7553,2,0.327759,1.40854,1.42754,0.0434,0
True,1790251238400000000,KXBTCD-26SEP241215-T85000,exp 2026-09-24T12:15:00Z,-1,0.02,2,0,False,0.002753,861.6,1.7247,0,0.2753,0,0,0.04,2,-0,-0,0.0116,0.0326,0.0113,0.0179,0.0455,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-23,sim-o23,sim-f7,0,17.42,-7.98,0.00275316,7.43665e-06,0.00562303,1.07389e-05,3.6814,0.42,queue,touch,44,0.962269,B,2,44,17.42,0.0843918,-3.8345,-1.41803,-28.5071,1,,0,3,8,3,6.75877,3.6814,0.02,0.571662,1.72468,1790251238420000000,1,1.7247,1.7247,1.7363,1.7573,1.736,1.7426,1.7702,2,0,1.736,1.7702,0.0113,0
True,1790251247000000000,KXBTCD-26SEP241215-T85000,exp 2026-09-24T12:15:00Z,-1,0.02,5,0.01,False,0.002732,853,1.7268,0,0.2732,0,0,0.09,1.8,-0,-0,0.0092,-0.0267,-0.0069,0.0369,0.0143,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-43,sim-o43,sim-f8,0,8.52,-9.98,0.00273205,7.15321e-06,0.005582,1.06983e-05,3.68867,0.02,queue,touch,5,1.03871,B,2,5,8.52,-7.06637,-4.2907,-2.61183,12.6084,1,,0,2,10,2,6.74874,3.68867,0.02,0.571662,1.7268,1790251247020000000,1,1.7268,1.7268,1.736,1.7001,1.7199,1.7637,1.7411,2,0.2,1.5199,1.5411,-0.0069,1
True,1790251251600000000,KXBTCD-26SEP241215-T83000,exp 2026-09-24T12:15:00Z,1,0.98,5,0.01,False,0.996791,848.4,1.6791,1,0.3209,0,0,0.09,1.8,0,0.0224,0.0224,0.013,0.0299,0.0348,0.1016,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-32,sim-o32,sim-f9,0,23.6217,5,0.996863,0.993645,0.999986,1.26225e-05,-3.56355,0.121659,queue,touch,47,0.93275,B,98,47,23.62,-2.21124,-7.16871,-8.59895,-20.3773,1,,-0,0,18,0,6.74333,3.56355,0.98,0.571662,1.68635,1790251251620000000,1,1.6791,1.7015,1.7015,1.6921,1.709,1.7139,1.7807,2,0.2,1.509,1.5807,0.0299,0
True,1790251253500000000,KXBTCD-26SEP241215-T83500,exp 2026-09-24T12:15:00Z,-1,0.99,5,0.01,False,0.964898,846.5,2.5102,1,-3.5102,0,0,-0.06,-1.2,-0,0.0123,0.0123,0.1568,0.0179,-0.0099,-0.8123,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-61,sim-o61,sim-f10,0,1.02,0,0.96485,0.929472,0.981177,0.000201048,-1.76707,0.02,queue,touch,66,0.177801,B,99,66,1.02,-0.574587,1.49831,0.0552112,30.7269,-0.351852,3,0,3,44,0,6.74109,1.76707,0.99,0.571662,2.51498,1790251253520000000,1,2.5102,2.5225,2.5225,2.667,2.5281,2.5003,1.6979,-1,0.2,2.3281,1.4979,0.0179,0
True,1790251255200000000,KXBTCD-26SEP241215-T85000,exp 2026-09-24T12:15:00Z,-1,0.02,2.99,0.0098,False,0.002835,844.8,1.7165,0,0.2835,0,0,0.05,1.67224,-0,-0,-0.0014,-0.0045,0.0337,0.0395,0.031,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-53,sim-o54,sim-f11,0,7.72,-14.98,0.00283453,8.55283e-06,0.00577888,1.12253e-05,3.65515,0.22,queue,touch,2,1.04352,B,2,2,7.72,-0.962012,2.07353,-1.10782,11.5317,1,,0,14,24,14,6.73908,3.65515,0.02,0.571662,1.71655,1790251255220000000,1,1.7165,1.7165,1.7151,1.712,1.7502,1.756,1.7475,2,0.327759,1.42244,1.41974,0.0337,0
True,1790251258800000000,KXBTCD-26SEP241215-T85000,exp 2026-09-24T12:15:00Z,-1,0.02,2.01,0.0002,False,0.002729,841.2,1.7271,0,0.2729,0,0,0.04,1.99005,-0,-0.0014,-0.0014,0.0222,0.0155,0.0318,0.0249,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-53,sim-o54,sim-f12,0,11.32,-17.97,0.00272468,7.04638e-06,0.00556555,1.07378e-05,3.69142,0.32,queue,touch,2,1.04352,B,2,2,11.32,0.311475,2.1143,1.07086,-8.94547,1,,0,3,27,3,6.73481,3.69142,0.02,0.571662,1.72753,1790251258820000000,1,1.7271,1.7257,1.7257,1.7493,1.7426,1.7589,1.752,2,0.00995025,1.73265,1.74205,0.0155,0
True,1790251275300000000,KXBTCD-26SEP241215-T83000,exp 2026-09-24T12:15:00Z,1,0.98,0.99,0.0098,False,0.996628,824.7,1.6628,1,0.3372,0,0,0.01,1.0101,0,0,0.0057,0.0466,0.064,0.0876,0.0123,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-60,sim-o59,sim-f13,0,23.32,10,0.996628,0.993198,0.999981,1.41717e-05,-3.49966,0.32,queue,touch,4,0.987319,B,98,4,23.32,-2.63874,-4.17501,1.47604,39.1525,1,,-0,0,26,0,6.715,3.49966,0.98,0.556843,1.66284,1790251275320000000,1,1.6628,1.6628,1.6685,1.7094,1.7268,1.7504,1.6751,2,0.989899,0.736901,0.685201,0.064,0
True,1790251275300000000,KXBTCD-26SEP241215-T83000,exp 2026-09-24T12:15:00Z,1,0.98,3,0,False,0.996628,824.7,1.6628,1,0.3372,0,0,0.06,2,0,0,0.0057,0.0466,0.064,0.0876,0.0123,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-60,sim-o59,sim-f14,0,23.32,10.99,0.996628,0.993198,0.999981,1.41717e-05,-3.49966,0.32,sweep,touch,4,0.987319,B,98,4,23.32,-2.63874,-4.17501,1.47604,39.1525,1,,-0,1,27,1,6.715,3.49966,0.98,0.556843,1.66284,1790251275320000000,1,1.6628,1.6628,1.6685,1.7094,1.7268,1.7504,1.6751,2,0,1.7268,1.6751,0.064,0
True,1790251281000000000,KXBTCD-26SEP241215-T83500,exp 2026-09-24T12:15:00Z,-1,0.99,5,0.01,False,0.965844,819,2.4156,1,-3.4156,0,0,-0.06,-1.2,-0,0.0348,0.0348,-0.1976,-0.1566,-0.9434,1.4483,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-89,sim-o89,sim-f15,0,2.02,-5,0.965619,0.931001,0.981913,0.000202881,-1.78093,0.02,queue,touch,14,0.391402,B,99,14,2.02,-2.06575,-2.79246,-2.45788,26.9023,-0.0909091,3,0,24,41,0,6.70806,1.78093,0.99,0.556843,2.43815,1790251281020000000,1,2.4156,2.4504,2.4504,2.218,2.259,1.4722,3.8639,-1,0.2,2.059,3.6639,-0.1566,1
True,1790251286000000000,KXBTCD-26SEP241215-T85000,exp 2026-09-24T12:15:00Z,-1,0.02,5,0.01,False,0.002494,814,1.7506,0,0.2494,0,0,0.09,1.8,-0,-0,0.0119,0.015,0.0213,0.0037,0.1155,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-68,sim-o68,sim-f16,0,27.02,-19.98,0.00249405,4.50815e-06,0.00512006,9.99404e-06,3.77404,0.02,queue,touch,8,1.02587,B,2,8,27.02,-0.533354,2.41252,4.35182,14.8476,1,,0,0,25,0,6.70194,3.77404,0.02,0.556843,1.75059,1790251286020000000,1,1.7506,1.7506,1.7625,1.7656,1.7719,1.7543,1.8661,2,0.2,1.5719,1.6661,0.0213,0
True,1790251317300000000,KXBTCD-26SEP241215-T83250,exp 2026-09-24T12:15:00Z,1,0.97,5,0.01,False,0.993063,782.7,2.3063,1,0.6937,0,0,0.14,2.8,0,0,0.0126,-0.0566,-0.1438,-0.5225,-1.4317,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-8,sim-o13,sim-f17,0,102.32,0,0.993063,0.986702,0.999676,3.38538e-05,-2.89976,0.32,queue,behind,17,0.752167,B,97,17,102.32,2.78128,10.5117,11.3408,15.0617,1,,-0,2,2,2,6.66272,2.89976,0.97,0.556843,2.30632,1790251317320000000,1,2.3063,2.3063,2.3189,2.2497,2.1625,1.7838,0.8746,3,0.2,1.9625,0.6746,-0.1438,1
