synthetic,policy,horizon,fills,net_markout_c,lo_c,hi_c
True,B,0.1s,138,2.22086,0.635854,4.36063
True,B,0.5s,138,2.29025,1.1221,3.27881
True,B,1s,138,2.32085,1.48494,26.0549
True,B,5s,138,2.61669,1.61964,4.94556
True,B,10s,138,3.10313,2.10556,4.53728
True,B,30s,138,2.95304,1.66787,4.2382
True,B,60s,138,2.40503,-0.0540538,4.53407
True,B,settle,138,3.6464,-1.22227,10.9038
True,C,0.1s,129,1.77214,1.52359,2.02068
True,C,0.5s,129,1.85664,-268.692,2.41255
True,C,1s,129,1.84411,-3.62193,2.41156
True,C,5s,129,1.86396,-0.962741,2.51164
True,C,10s,129,2.01777,1.4968,2.53874
True,C,30s,129,1.69922,0.582636,6.81088
True,C,60s,129,1.25753,0.151762,3.53848
True,C,settle,129,2.75937,-6.00263,13.56
