synthetic,policy,feature,n,spearman_vs_net_10s
True,B,queue_at_place_ct,138,-0.11218
True,B,quote_age_s,138,-0.246058
True,B,adv_ext_0.1s,138,0.0660203
True,B,adv_ext_0.5s,138,0.0175897
True,B,adv_ext_1s,138,-0.0805828
True,B,adv_ext_5s,138,-0.0766739
True,B,kalshi_imb_side,138,-0.601355
True,B,taker_ct_10s,138,0.404677
True,B,taker_ct_60s,138,0.34217
True,B,takers_against_10s,138,0.29637
True,B,log_tau,138,-0.184774
True,B,abs_z,138,-0.266169
True,B,yes_px,138,-0.0401214
True,B,spread_ticks,31,0.602586
True,B,sigma_ann,138,0.107331
True,B,fv_edge_c,138,0.721459
True,C,queue_at_place_ct,129,0.0147684
True,C,quote_age_s,129,-0.0955307
True,C,adv_ext_0.1s,129,0.0255164
True,C,adv_ext_0.5s,129,0.0095624
True,C,adv_ext_1s,129,-0.00866793
True,C,adv_ext_5s,129,0.0502438
True,C,kalshi_imb_side,129,-0.510254
True,C,taker_ct_10s,129,0.206483
True,C,taker_ct_60s,129,0.284026
True,C,takers_against_10s,129,0.157875
True,C,log_tau,129,-0.0520189
True,C,abs_z,129,-0.253131
True,C,yes_px,129,-0.108818
True,C,spread_ticks,24,0.265626
True,C,sigma_ann,129,0.134531
True,C,fv_edge_c,129,0.63963
