synthetic,variant,policy,family,regime,events,d_mean,d_lo,d_hi
True,config,B,tau_bucket,1-5m,4,13.7194,-11.0183,38.4571
True,config,B,tau_bucket,10-30m,4,-1.20872,-4.42816,4.9073
True,config,B,tau_bucket,5-10m,4,1.17921,-5.48609,7.8445
True,config,B,vol_tercile,high,3,-2.30048,-25.5554,20.9544
True,config,B,vol_tercile,low,2,1.12236,1.12236,1.12236
True,config,B,vol_tercile,mid,3,-1.10721,-22.5859,66.9405
True,config,B,vol_tercile,n/a,1,2.5446,,
True,config,B,weekday,weekday,4,-0.0778968,-4.35179,4.19599
True,config,C,tau_bucket,1-5m,4,-7.67615,-14362.5,4.4695e+08
True,config,C,tau_bucket,10-30m,4,-0.602696,-2.71317,3.54171
True,config,C,tau_bucket,5-10m,4,3.33747,-4.36113,19.479
True,config,C,vol_tercile,high,3,-3.70496,-30.4236,23.0137
True,config,C,vol_tercile,low,2,-1.06597,-1.06597,219898
True,config,C,vol_tercile,mid,3,2.11228,-16.7445,4.95432e+08
True,config,C,vol_tercile,n/a,1,2.55922,,
True,config,C,weekday,weekday,4,-0.398871,-1.40047,0.602734
True,hysteresis_strong,B,tau_bucket,1-5m,4,9.98745,-1213.33,474.968
True,hysteresis_strong,B,tau_bucket,10-30m,4,1.54781,-7.25924,4.75702e+06
True,hysteresis_strong,B,tau_bucket,5-10m,4,-2.46535,-2.17671e+07,16.4278
True,hysteresis_strong,B,vol_tercile,high,3,-2.81186,-1.99675e+09,1618.23
True,hysteresis_strong,B,vol_tercile,low,2,-1.35697,-1.8816e+06,-1.35697
True,hysteresis_strong,B,vol_tercile,mid,3,-1.24038,-2.08501e+08,9.13635
True,hysteresis_strong,B,vol_tercile,n/a,1,8.86543,,
True,hysteresis_strong,B,weekday,weekday,4,0.512756,-7.52206,235.888
True,hysteresis_strong,C,tau_bucket,1-5m,4,-6.7,-386.887,17.4833
True,hysteresis_strong,C,tau_bucket,10-30m,4,0.659588,-6.00151,176.672
