synthetic,variant,policy,fills,contracts,net_c,net_lo_c,net_hi_c,events,usd_per_day,fills_per_day,contracts_per_day,gross_edge_c,fee_c,markout_1s_c,markout_10s_c,quotes_placed,cancels,quote_hours,usd_per_quote_hour,days,d_net_vs_ref_c,d_lo_c,d_hi_c,d_usd_per_day_vs_ref,holds_only_under_A
True,recenter_always,B,143,471.23,3.7243,-1.22985,8.90445,4,421.2,3432,11309.5,2.05405,0.261083,-0.0112792,0.0297296,3560,3475,4.80866,3.64966,0.0416667,,,,,False
True,recenter_always,C,141,455,3.15824,-0.960591,6.61553,4,344.88,3384,10920,2.02689,0.267033,0.0320705,0.108823,4057,3969,5.31589,2.70322,0.0416667,,,,,False
True,config,B,136,452.68,3.69135,1.42013,6.70213,4,401.04,3264,10864.3,2.50803,0.260073,0.105629,0.904464,1688,1608,5.40298,3.09274,0.0416667,-0.0329467,-1.66477,2.71738,-20.16,False
True,config,C,129,413.5,2.75937,-1.43324,6.93722,4,273.84,3096,9924,2.01518,0.243047,0.0816643,0.241636,1782,1706,5.50758,2.07169,0.0416667,-0.398871,-1.22259,0.335237,-71.04,False
True,hysteresis_strong,B,131,429.78,4.23705,2.63285,5.69188,4,437.04,3144,10314.7,1.91065,0.23056,-0.0180584,0.0194142,1265,1182,7.08535,2.57009,0.0416667,0.512756,-2.53979,5.81968,15.84,False
True,hysteresis_strong,C,119,385,3.05714,0.748011,5.93679,4,282.48,2856,9240,1.98036,0.227273,-0.105254,-0.21444,1208,1131,6.85116,1.71796,0.0416667,-0.101099,-1.05829,2.05605,-62.4,False
True,age_only_5s,B,134,436.65,4.7498,1.49505,9.3884,4,497.76,3216,10479.6,1.88047,0.231238,0.0151049,0.138337,1784,1707,4.88214,4.24813,0.0416667,1.0255,-0.190096,3.35243,76.56,False
True,age_only_5s,C,128,405,3.8963,1.51031,7.29829,4,378.72,3072,9720,1.86353,0.234568,0.0239047,0.112553,1825,1755,5.05022,3.12462,0.0416667,0.738055,-0.857519,3.53332,33.84,False
True,join_only,B,121,390.69,2.61844,-0.148411,5.20151,4,245.52,2904,9376.56,2.07063,0.2374,0.0307231,0.196862,1488,1420,5.22864,1.95653,0.0416667,-1.10585,-3.70293,1.08144,-175.68,False
True,join_only,C,116,379.5,3.26482,-0.136111,6.79907,4,297.36,2784,9108,2.04706,0.234519,0.010874,0.121667,1498,1427,5.36537,2.30925,0.0416667,0.10658,-0.874699,1.5819,-47.52,False
True,improve_x2,B,134,436.69,1.46557,-0.163528,3.1122,4,153.6,3216,10480.6,2.30232,0.260459,0.0553965,0.879358,1594,1518,5.3893,1.18754,0.0416667,-2.25873,-8.52318,2.71608,-267.6,False
True,improve_x2,C,131,422.5,2.48284,-1.52589,6.42366,4,251.76,3144,10140,2.0852,0.247337,-0.0678715,0.145147,1771,1694,5.4563,1.92255,0.0416667,-0.675402,-1.48703,0.11767,-93.12,False
True,touch_only,B,145,478.7,1.88218,-2.89863,5.35303,4,216.24,3480,11488.8,2.09507,0.263777,-0.134168,0.256677,1676,1591,3.36626,2.67656,0.0416667,-1.84212,-3.80927,1.48692e-05,-204.96,False
True,touch_only,C,134,428,1.6285,-1.94595,4.64775,4,167.28,3216,10272,2.05845,0.254673,-0.071032,0.0604484,1731,1649,3.6678,1.90032,0.0416667,-1.52974,-2.93942,-0.0359848,-177.6,False
True,wide_ladder,B,147,479.72,3.79388,-0.468246,8.41974,4,436.8,3528,11513.3,2.1866,0.260173,-0.0572479,0.258632,1408,1320,6.31533,2.88188,0.0416667,0.0695838,-1.23907,1.27267,15.6,False
True,wide_ladder,C,141,449.5,3.01001,-0.597484,6.94881,4,324.72,3384,10788,2.15796,0.252503,-0.182767,-0.0397984,1509,1424,6.22909,2.17207,0.0416667,-0.148231,-0.406749,0.57383,-20.16,False
