synthetic,policy,z_bucket,fills,contracts,events,fills_per_day,contracts_per_day,net_c,net_lo_c,net_hi_c,gross_edge_c,fee_c,net_usd_per_day,mo_10s_c,mo_60s_c,toxic_share,holds_only_under_A,recommendation
True,A,0-0.5,11,42.5,4,264,1020,3.64706,-23.6,27.9221,4.48803,0.6,37.2,5.40217,-6.30318,0.0909091,False,insufficient data
True,A,0.5-1,4,17,3,96,408,31.8235,26.8414,39.5,12.7226,0.470588,129.84,9.07465,11.2169,0,False,insufficient data
True,A,1-1.5,7,32,2,168,768,12.6875,-2.2,15.4444,3.59358,0.21875,97.44,0.5579,1.42609,0,False,insufficient data
True,A,1.5-2,12,41,3,288,984,0.926829,-1.74485,11.125,2.75509,0.268293,9.12,0.520388,0.166302,0,False,insufficient data
True,A,2.5-3,8,30,4,192,720,1.93333,1.68,2.4,1.48684,0.233333,13.92,-0.116177,-0.440463,0,False,insufficient data
True,A,>3,96,299,4,2304,7176,1.74247,1.68275,1.78659,1.65736,0.214047,125.04,0.0167378,0.0689177,0.0208333,False,insufficient data
True,B,0-0.5,8,33,4,192,792,3.21212,-23.6,36.2143,4.51803,0.606061,25.44,6.50657,-4.6789,0,False,insufficient data
True,B,0.5-1,4,17,3,96,408,31.8235,26.8414,39.5,12.7226,0.470588,129.84,9.07465,11.2169,0,False,insufficient data
True,B,1-1.5,7,31.99,2,168,767.76,12.6915,-2.2,15.4502,3.59369,0.220069,97.44,0.557437,1.42325,0,False,insufficient data
True,B,1.5-2,12,40.92,3,288,982.08,0.928641,-1.75161,11.125,2.75452,0.272239,9.12,0.520594,0.169388,0,False,insufficient data
True,B,2.5-3,9,29.98,4,216,719.52,1.93462,1.68404,2.4,1.48696,0.232155,13.92,-0.116256,-0.440903,0.111111,False,insufficient data
True,B,>3,96,299.79,4,2304,7194.96,1.74122,1.69218,1.78686,1.66016,0.215451,125.28,0.0160007,0.0650026,0.0104167,False,insufficient data
True,C,0-0.5,6,23,4,144,552,4.43478,-48,52.9,4.14572,0.608696,24.48,2.9359,-11.077,0,False,insufficient data
True,C,1-1.5,7,31,2,168,744,13.2258,-2.2,16.1923,3.60546,0.225806,98.4,0.510113,1.13281,0,False,insufficient data
True,C,1.5-2,11,32,3,264,768,1.6875,-1.68544,11.125,2.71484,0.3125,12.96,0.540616,0.795769,0,False,insufficient data
True,C,2.5-3,9,33,4,216,792,1.93939,1.73684,2.175,1.44862,0.212121,15.36,-0.154482,-0.6745,0,False,insufficient data
True,C,>3,96,294.5,4,2304,7068,1.73514,1.69527,1.7823,1.66885,0.212224,122.64,0.0148582,0.0655469,0.0104167,False,insufficient data
