synthetic,ts,ticker,event,side,px,contracts,fee,is_taker,F,tau_s,gross_edge_c,settle,to_settle_c,hedge_cost,hedge_pnl,net,net_c_per_ct,mo_0.1s_c,mo_0.5s_c,mo_1s_c,mo_5s_c,mo_10s_c,mo_30s_c,mo_60s_c,coid,order_id,trade_id,queue_ahead_ct,order_age_s,pos_before_ct,F_cycle,F_lo,F_hi,delta_btc,z,fv_age_s,mechanism,quote_position,q_eff_at_place_ct,modeled_value_c,policy,yes_px_c
True,1790251218420000000,KXBTCD-26SEP241215-T83000,KXBTCD-26SEP241215,1,0.98,1,0.01,False,0.996883,881.58,1.6883,1,0.3117,0,0,0.01,1,0,0,0.0051,-0.042,-0.0168,-0.0341,0.0301,synth-3,sim-o8,sim-f1,0,3.42942,0,0.996883,0.993678,0.999987,1.2283e-05,-3.56837,0.429419,queue,touch,3,0.988874,C,98
True,1790251220620000000,KXBTCD-26SEP241215-T85000,KXBTCD-26SEP241215,-1,0.02,3,0.01,False,0.003202,879.38,1.6798,0,0.3202,0,0,0.05,1.66667,-0,0.008,0.008,0.035,0.0186,0.047,0.0846,synth-4,sim-o11,sim-f2,0,5.64137,0,0.00318149,1.48163e-05,0.00644187,1.26024e-05,3.55017,0.141369,queue,touch,8,0.879114,C,2
True,1790251222620000000,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.51,5,0.03,False,0.460924,877.38,4.9076,1,-53.9076,0,0,-2.48,-49.6,-0,0.4453,0.1222,-2.123,-3.6866,-2.3719,1.5492,synth-23,sim-o23,sim-f3,0,1.16991,0,0.460924,0.454071,0.473997,0.00176023,0.078306,0.169907,queue,touch,1,2.47533,C,51
True,1790251227920000000,KXBTCD-26SEP241215-T83000,KXBTCD-26SEP241215,1,0.98,4,0,False,0.996572,872.08,1.6572,1,0.3428,0,0,0.08,2,0.0143,0.0143,0.0143,0.0322,0.0034,0.0312,0.065,synth-3,sim-o8,sim-f4,0,12.9302,1,0.996698,0.993329,0.999982,1.32218e-05,-3.51717,0.430233,queue,touch,3,0.988874,C,98
True,1790251229820000000,KXBTCD-26SEP241215-T85000,KXBTCD-26SEP241215,-1,0.02,2,0,False,0.003071,870.18,1.6929,0,0.3071,0,0,0.04,2,-0,0.0055,0.0055,-0.0071,0.0434,0.0328,0.0624,synth-4,sim-o11,sim-f5,0,14.8339,-3,0.00312019,1.3526e-05,0.00632472,1.23814e-05,3.56777,0.333876,queue,touch,8,0.879114,C,2
True,1790251238420000000,KXBTCD-26SEP241215-T85000,KXBTCD-26SEP241215,-1,0.02,1,0.01,False,0.002753,861.58,1.7247,0,0.2753,0,0,0.01,1,-0,-0,0.0116,0.0326,0.0113,0.0179,0.0455,synth-34,sim-o34,sim-f6,0,8.43418,-5,0.00275316,7.43665e-06,0.00562303,1.07389e-05,3.6814,0.434177,queue,touch,17,0.977511,C,2
True,1790251247020000000,KXBTCD-26SEP241215-T85000,KXBTCD-26SEP241215,-1,0.02,4,0,False,0.002732,852.98,1.7268,0,0.2732,0,0,0.08,2,-0,-0,0.0092,-0.0267,-0.0069,0.0369,0.0143,synth-34,sim-o34,sim-f7,0,17.0419,-6,0.00273205,7.15321e-06,0.005582,1.06983e-05,3.68867,0.0419116,queue,touch,17,0.977511,C,2
True,1790251251620000000,KXBTCD-26SEP241215-T83000,KXBTCD-26SEP241215,1,0.98,5,0.01,False,0.996791,848.38,1.6791,1,0.3209,0,0,0.09,1.8,0,0.0224,0.0224,0.013,0.0299,0.0348,0.1016,synth-31,sim-o31,sim-f8,0,23.6297,5,0.996863,0.993645,0.999986,1.26225e-05,-3.56355,0.129712,queue,touch,47,0.932746,C,98
True,1790251253520000000,KXBTCD-26SEP241215-T83500,KXBTCD-26SEP241215,-1,0.99,5,0.01,False,0.964898,846.48,2.5102,1,-3.5102,0,0,-0.06,-1.2,-0,0.0123,0.0123,0.1568,0.0179,-0.0099,-0.8123,synth-60,sim-o60,sim-f9,0,1.03869,0,0.96485,0.929472,0.981177,0.000201048,-1.76707,0.0386925,queue,touch,66,0.177901,C,99
True,1790251255220000000,KXBTCD-26SEP241215-T85000,KXBTCD-26SEP241215,-1,0.02,1,0.01,False,0.002835,844.78,1.7165,0,0.2835,0,0,0.01,1,-0,-0,-0.0014,-0.0045,0.0337,0.0395,0.031,synth-52,sim-o53,sim-f10,0,7.73137,-10,0.00283453,8.55283e-06,0.00577888,1.12253e-05,3.65515,0.231374,queue,touch,2,1.04615,C,2
