synthetic,policy,tau_bucket,z_bucket,fills,contracts,events,fills_per_day,contracts_per_day,net_c,net_lo_c,net_hi_c,gross_edge_c,fee_c,net_usd_per_day,mo_10s_c,mo_60s_c,toxic_share,holds_only_under_A,recommendation
True,A,1-5m,0-0.5,4,13.5,3,96,324,-10.5185,-40.8628,46,5.32273,0.62963,-34.08,15.5896,-5.30877,0,False,insufficient data
True,A,1-5m,0.5-1,3,14,3,72,336,33.7857,28.835,39.5,13.4679,0.5,113.52,10.0764,11.3652,0,False,insufficient data
True,A,1-5m,1.5-2,3,10,2,72,240,-1.7,-2.2,-1.2,2.68752,0.2,-4.08,1.79688,1.46939,0,False,insufficient data
True,A,1-5m,>3,2,10,1,48,240,1.8,,,1.68945,0.2,4.32,0.0654,0.2409,0,False,insufficient data
True,A,10-30m,0-0.5,5,22,4,120,528,15.5455,-47,52.0909,4.46567,0.590909,82.08,1.20744,-8.45234,0,False,insufficient data
True,A,10-30m,1-1.5,6,27,2,144,648,15.6296,-2.2,19.6818,3.39883,0.222222,101.28,0.169567,2.21094,0,False,insufficient data
True,A,10-30m,1.5-2,7,25,3,168,600,-1.48,-1.68578,-1.2,2.85554,0.28,-8.88,0.238012,-0.221288,0,False,insufficient data
True,A,10-30m,2.5-3,8,30,4,192,720,1.93333,1.68,2.4,1.48684,0.233333,13.92,-0.116177,-0.440463,0,False,insufficient data
True,A,10-30m,>3,71,223,4,1704,5352,1.74888,1.67603,1.79798,1.63845,0.210762,93.6,0.0137336,0.0628027,0.0140845,False,insufficient data
True,A,5-10m,0-0.5,2,7,1,48,168,-6.42857,,,2.94856,0.571429,-10.8,-1.06159,-1.46649,0.5,False,insufficient data
True,A,5-10m,0.5-1,1,3,1,24,72,22.6667,,,9.2447,0.333333,16.32,4.3997,10.5251,0,False,insufficient data
True,A,5-10m,1-1.5,1,5,1,24,120,-3.2,,,4.6452,0.2,-3.84,2.6549,-2.8121,0,False,insufficient data
True,A,5-10m,1.5-2,2,6,2,48,144,15.3333,-1.2,98,2.44915,0.333333,22.08,-0.430533,-0.39055,0,False,insufficient data
True,A,5-10m,>3,23,66,4,552,1584,1.71212,1.59211,1.8,1.71638,0.227273,27.12,0.0195152,0.0635212,0.0434783,False,insufficient data
True,B,1-5m,0-0.5,3,12,2,72,288,-17.5833,-46.6,3.14286,4.97716,0.583333,-50.64,17.1718,-9.49767,0,False,insufficient data
True,B,1-5m,0.5-1,3,14,3,72,336,33.7857,28.835,39.5,13.4679,0.5,113.52,10.0764,11.3652,0,False,insufficient data
True,B,1-5m,1.5-2,3,10,2,72,240,-1.7,-2.2,-1.2,2.68752,0.2,-4.08,1.79688,1.46939,0,False,insufficient data
True,B,1-5m,>3,7,21,3,168,504,1.71429,1.0101,1.78801,1.77071,0.285714,8.64,0.0259257,0.0916862,0,False,insufficient data
True,B,10-30m,0-0.5,4,16,3,96,384,2.5,-49.6,52,4.41151,0.625,9.6,0.438256,-7.80141,0,False,insufficient data
True,B,10-30m,1-1.5,6,26.99,2,144,647.76,15.6354,-2.2,19.6908,3.3989,0.223787,101.28,0.168874,2.20787,0,False,insufficient data
True,B,10-30m,1.5-2,7,24.92,3,168,598.08,-1.48475,-1.69587,-1.2,2.85493,0.286517,-8.88,0.237445,-0.217465,0,False,insufficient data
True,B,10-30m,2.5-3,9,29.98,4,216,719.52,1.93462,1.68404,2.4,1.48696,0.232155,13.92,-0.116256,-0.440903,0.111111,False,insufficient data
True,B,10-30m,>3,70,218.8,4,1680,5251.2,1.75046,1.67612,1.80144,1.6385,0.208455,91.92,0.0136828,0.0646295,0.0142857,False,insufficient data
True,B,5-10m,0-0.5,1,5,1,24,120,55.4,,,3.757,0.6,66.48,0.3287,16.8782,0,False,insufficient data
True,B,5-10m,0.5-1,1,3,1,24,72,22.6667,,,9.2447,0.333333,16.32,4.3997,10.5251,0,False,insufficient data
True,B,5-10m,1-1.5,1,5,1,24,120,-3.2,,,4.6452,0.2,-3.84,2.6549,-2.8121,0,False,insufficient data
True,B,5-10m,1.5-2,2,6,2,48,144,15.3333,-1.2,98,2.44915,0.333333,22.08,-0.430533,-0.39055,0,False,insufficient data
True,B,5-10m,>3,19,59.99,4,456,1439.76,1.71695,1.65,1.8009,1.70045,0.216369,24.72,0.0209803,0.0570229,0,False,insufficient data
True,C,1-5m,0-0.5,1,3,1,24,72,-50.6667,,,4.7146,0.666667,-36.48,17.1881,-21.0234,0,False,insufficient data
True,C,1-5m,1.5-2,2,5,1,48,120,-1.2,,,2.48974,0.2,-1.44,2.79586,6.59498,0,False,insufficient data
True,C,1-5m,>3,4,12.5,2,96,300,1.6,0.8,1.8,1.66707,0.2,4.8,0.022084,0.124468,0,False,insufficient data
True,C,10-30m,0-0.5,5,20,4,120,480,12.7,-47,52.9,4.06039,0.6,60.96,0.798065,-9.58503,0,False,insufficient data
True,C,10-30m,1-1.5,6,26,2,144,624,16.3846,-2.2,20.8095,3.40551,0.230769,102.24,0.0976538,1.89144,0,False,insufficient data
True,C,10-30m,1.5-2,7,21,3,168,504,-1.52381,-1.78705,-1.22222,2.84435,0.333333,-7.68,0.281124,-0.246048,0,False,insufficient data
True,C,10-30m,2.5-3,9,33,4,216,792,1.93939,1.73684,2.175,1.44862,0.212121,15.36,-0.154482,-0.6745,0,False,insufficient data
True,C,10-30m,>3,71,217,4,1704,5208,1.76959,1.72059,1.8,1.66941,0.207373,92.16,0.0126309,0.0647862,0,False,insufficient data
True,C,5-10m,1-1.5,1,5,1,24,120,-3.2,,,4.6452,0.2,-3.84,2.6549,-2.8121,0,False,insufficient data
True,C,5-10m,1.5-2,2,6,2,48,144,15.3333,-1.2,98,2.44915,0.333333,22.08,-0.430533,-0.39055,0,False,insufficient data
True,C,5-10m,>3,21,65,4,504,1560,1.64615,1.53333,1.8,1.66736,0.230769,25.68,0.0209046,0.0567554,0.047619,False,insufficient data
