synthetic,policy,price_bucket,fills,contracts,events,fills_per_day,contracts_per_day,net_c,net_lo_c,net_hi_c,gross_edge_c,fee_c,net_usd_per_day,mo_10s_c,mo_60s_c,toxic_share,holds_only_under_A,recommendation
True,A,1-5c,57,194,4,1368,4656,0.896907,-0.335025,1.55294,1.93258,0.221649,41.76,0.246023,0.443961,0.0175439,False,insufficient data
True,A,10-25c,1,3,1,24,72,22.6667,,,9.2447,0.333333,16.32,4.3997,10.5251,0,False,insufficient data
True,A,25-50c,4,13.5,2,96,324,21.1852,18.0833,46,4.7481,0.62963,68.64,1.46167,-3.46954,0.25,True,insufficient data
True,A,50-75c,10,43,4,240,1032,7.95349,-1.56,31.1154,7.33005,0.55814,82.08,8.16115,-1.44033,0,False,insufficient data
True,A,95-99c,66,208,4,1584,4992,4.08173,0.85567,8.36255,1.89033,0.221154,203.76,-0.0337524,-0.126359,0.0151515,False,insufficient data
True,B,1-5c,57,192.44,4,1368,4618.56,0.883392,-0.427508,1.54824,1.93472,0.228383,40.8,0.248226,0.445595,0.0350877,False,insufficient data
True,B,10-25c,1,3,1,24,72,22.6667,,,9.2447,0.333333,16.32,4.3997,10.5251,0,False,insufficient data
True,B,25-50c,2,8,1,48,192,52,,,4.32301,0.625,99.84,3.91245,-13.4494,0,True,insufficient data
True,B,50-75c,9,39,4,216,936,4.17949,-6.14286,31.5,7.7708,0.564103,39.12,8.32019,2.87959,0,False,insufficient data
True,B,95-99c,67,210.24,4,1608,5045.76,4.06202,0.815273,8.22704,1.89135,0.217751,204.96,-0.0348272,-0.128521,0,False,insufficient data
True,C,1-5c,61,186,4,1464,4464,1.03226,-0.277174,1.85227,1.94208,0.209677,46.08,0.223418,0.49003,0,False,insufficient data
True,C,25-50c,2,8,1,48,192,52,,,4.32301,0.625,99.84,3.91245,-13.4494,0,True,insufficient data
True,C,50-75c,4,15,3,96,360,-20.9333,-50,53.5,4.05117,0.6,-75.36,2.41507,-9.81171,0,False,insufficient data
True,C,95-99c,62,204.5,4,1488,4908,4.14181,0.86631,8.62397,1.84205,0.232274,203.28,-0.0448149,-0.163906,0.016129,False,insufficient data
