synthetic,policy,family,regime,fills,contracts,events,mean,lo,hi
True,B,tau_bucket,1-5m,154,1317,4,13.4313,-0.935893,26.6512
True,B,tau_bucket,10-30m,5,42,3,-0.428571,-14.6248,13.7677
True,B,tau_bucket,30-60s,5,50,2,2.14,-57.0497,5.24256e+08
True,B,tau_bucket,5-10m,33,290,3,18.4759,-2.45625e+08,47.1299
True,B,tau_bucket,<30s,15,150,2,7.92,-1.24589e+07,21.4521
True,B,vol_tercile,high,69,608,4,9.17599,-40.5916,61.0004
True,B,vol_tercile,low,72,616,1,14.8896,,
True,B,vol_tercile,mid,70,623,2,15.5201,-51.7073,2.61762e+08
True,B,vol_tercile,n/a,1,2,1,-48,,
True,B,weekday,weekday,212,1849,4,13.1552,-2.13336,32.4252
True,C,tau_bucket,1-5m,138,1155,4,15.355,4.28616,20.79
True,C,tau_bucket,10-30m,4,32,3,14.375,-87.3443,116.094
True,C,tau_bucket,30-60s,4,40,2,2.225,-69.8827,6.75401e+08
True,C,tau_bucket,5-10m,27,237,3,15.8354,-698.029,67.1997
True,C,tau_bucket,<30s,14,136,2,10.9265,-8.57609e+06,1.71522e+07
True,C,vol_tercile,high,59,504,4,13.5992,-34.5629,31.2458
True,C,vol_tercile,low,70,596,1,15.0755,,
True,C,vol_tercile,mid,57,498,2,15.6225,-71.8834,103.128
True,C,vol_tercile,n/a,1,2,1,-48,,
True,C,weekday,weekday,187,1600,4,14.7019,4.00142,28.8364
