synthetic,t_decision,t_exec,ticker,event,side,limit_px,edge_c,tau_s,touch_age_s,ext_move_1s,attempt_ct,contracts,avg_px,fee_c,F_decision,settle,net_settle_c,net_1s_c,net_5s_c,net_10s_c,net_60s_c
True,1790251252000000000,1790251252033028520,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.48,0.324635,848,0.88,10.17,10,10,0.48,1.7472,0.501081,1,50.2528,-1.56668,-2.16579,-1.71953,3.00214
True,1790251334250000000,1790251334269493347,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.39,0.199689,765.75,0.13,-31.3284,6,6,0.39,1.6653,0.312921,1,-62.6653,8.36121,5.46221,7.51796,19.9719
True,1790251410000000000,1790251410044073529,KXBTCD-26SEP241215-T83750,KXBTCD-26SEP241215,-1,0.56,0.195679,690,0.08,-23.0547,10,0,,,0.534704,1,,,,,
True,1790251423500000000,1790251423556678811,KXBTCD-26SEP241215-T83750,KXBTCD-26SEP241215,-1,0.54,1.87987,676.5,0.08,-9.15385,2,2,0.54,1.7388,0.503242,1,-47.7388,0.271821,-2.5906,0.506294,-4.50261
True,1790251424250000000,1790251424277212676,KXBTCD-26SEP241215-T83750,KXBTCD-26SEP241215,-1,0.53,0.17087,675.75,0.63,8.83434,10,10,0.53,1.7437,0.509228,1,-48.7437,-0.138831,-2.7385,-2.47734,-6.1959
True,1790251798250000000,1790251798286164549,KXBTCD-26SEP241215-T83750,KXBTCD-26SEP241215,1,0.81,0.0340613,301.75,0.43,20.3104,10,10,0.81,1.0773,0.899121,1,17.9227,7.70234,10.0897,7.773,15.2508
True,1790251862000000000,1790251862024039274,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.44,0.655222,238,0.18,-3.34394,10,10,0.44,1.7248,0.370515,1,-57.7248,-1.70942,9.62498,6.47571,12.5121
True,1790251865500000000,1790251865559396022,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.44,0.355691,234.5,0.28,-7.85831,1,1,0.44,1.7248,0.374902,1,-57.7248,11.7703,14.838,-6.6665,12.0091
True,1790251866250000000,1790251866296287535,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.42,0.556239,233.75,0.03,-17.9219,4,4,0.42,1.7052,0.342724,1,-59.7052,8.83634,10.1948,-15.3705,7.61234
True,1790251867250000000,1790251867291192358,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.4,0.547162,232.75,0.03,-3.11984,3,3,0.4,1.68,0.314589,1,-61.68,10.106,-2.13966,-17.2852,-2.32758
True,1790251873000000000,1790251873036724325,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.41,1.5771,227,0.18,20.8372,10,0,,,0.451203,1,,,,,
True,1790251874500000000,1790251874524797233,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.45,0.146509,225.5,0.38,-8.51243,10,10,0.46,1.7388,0.392709,1,-55.7388,-4.68052,-20.0784,-11.2254,-13.029
True,1790251875500000000,1790251875521754478,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.46,1.01692,224.5,0.08,15.1059,10,8,0.46,1.7388,0.489417,1,52.2612,6.17123,14.126,11.0827,-0.385038
True,1790251876000000000,1790251876046330542,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.46,2.56723,224,0.08,14.3351,10,0,,,0.504836,1,,,,,
True,1790251877500000000,1790251877537141867,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.52,0.0278422,222.5,0.58,0.386751,10,10,0.52,1.7472,0.559444,1,46.2528,1.63606,4.2418,2.81921,-1.75902
True,1790251879000000000,1790251879029984602,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.55,0.286023,221,0.18,15.2189,10,1,0.55,1.7325,0.609619,1,43.2675,2.58337,-8.48651,-4.78367,-4.63445
True,1790251879500000000,1790251879532267592,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.56,1.54577,220.5,0.28,19.6295,10,10,0.56,1.7248,0.643394,1,42.2752,4.14003,-2.23819,-7.04762,-1.49812
True,1790251883500000000,1790251883538993594,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.54,2.16178,216.5,0.08,-17.1865,10,10,0.54,1.7388,0.500846,1,-47.7388,-3.22543,0.737429,5.19384,-1.57971
True,1790251885000000000,1790251885029996641,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.51,1.14166,215,0.08,10.2033,9,0,,,0.56144,1,,,,,
True,1790251888500000000,1790251888519238064,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.57,3.49293,211.5,0.38,-5.56832,10,10,0.57,1.7157,0.515237,1,-44.7157,4.60712,8.21691,25.439,-13.8128
True,1790251890500000000,1790251890519785388,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.51,0.212663,209.5,0.08,14.2321,10,10,0.51,1.7493,0.546917,1,47.2507,-0.773067,-16.5785,-28.6917,22.0459
True,1790251892500000000,1790251892537791725,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.5,0.281605,207.5,0.18,-8.55986,10,10,0.5,1.75,0.467757,1,-51.75,1.18264,16.9521,16.606,-23.9308
True,1790251894250000000,1790251894271333903,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.47,1.12371,205.75,0.03,-13.4965,3,3,0.47,1.7437,0.407594,1,-54.7437,7.79169,20.8842,12.9454,-25.6044
True,1790251895000000000,1790251895031713858,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.45,2.916,205,0.18,-16.6117,10,10,0.45,1.7325,0.350225,1,-56.7325,10.4164,16.1063,14.8818,-32.8387
True,1790251899250000000,1790251899272728260,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.36,1.78238,200.75,0.03,-14.328,7,7,0.36,1.6128,0.243723,1,-65.6128,7.19777,2.0763,15.6341,-43.7618
True,1790251909250000000,1790251909300167466,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.3,0.653396,190.75,0.03,-23.1439,6,6,0.3,1.47,0.187533,1,-71.47,4.33829,3.92761,-5.73077,-52.6369
True,1790251909750000000,1790251909795801420,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.3,0.0225432,190.25,0.13,8.9665,10,10,0.3,1.47,0.194329,1,-71.47,0.728337,5.85585,-3.35376,-55.429
True,1790251914250000000,1790251914267009057,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.36,1.51706,185.75,0.03,-16.6931,10,10,0.36,1.6128,0.24603,1,-65.6128,13.225,0.126132,4.34869,-47.5958
True,1790251915000000000,1790251915051957011,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.34,0.22216,185,0.08,-11.0266,10,10,0.34,1.5708,0.237485,1,-67.5708,8.19703,2.75151,0.380181,-53.1797
True,1790251929250000000,1790251929282926261,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.48,1.19036,170.75,0.13,7.80314,10,10,0.48,1.7472,0.515038,1,50.2528,-4.91522,7.23087,5.65682,42.0065
True,1790251932250000000,1790251932281451649,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.47,4.55492,167.75,0.03,14.2977,10,10,0.47,1.7437,0.552758,1,51.2563,10.2135,4.33283,0.320762,40.368
True,1790251935500000000,1790251935525423943,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.53,2.90663,164.5,0.18,-13.2666,10,0,,,0.473538,1,,,,,
True,1790251940000000000,1790251940045556450,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.53,2.0701,160,0.08,13.682,10,10,0.53,1.7437,0.608016,1,45.2563,3.09215,6.056,18.4636,19.2061
True,1790251941250000000,1790251941265334912,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.57,1.9604,158.75,0.03,-1.26148,10,10,0.57,1.7157,0.528288,1,-44.7157,6.21983,-4.45242,-15.3123,-21.9123
True,1790251944000000000,1790251944037779375,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.52,0.934087,156,0.38,-6.35866,10,0,,,0.57471,1,,,,,
True,1790251944500000000,1790251944534351164,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.55,0.055623,155.5,0.28,20.9565,10,10,0.55,1.7325,0.607543,1,43.2675,3.68912,10.739,17.8356,11.4734
True,1790251945000000000,1790251945025326804,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.53,2.06875,155,0.08,8.12632,10,0,,,0.607994,1,,,,,
True,1790251948250000000,1790251948291583634,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.55,3.06587,151.75,0.03,12.3365,10,10,0.55,1.7325,0.653095,1,43.2675,12.7053,14.4454,22.9713,22.6099
True,1790251950500000000,1790251950520171816,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.64,1.01285,149.5,0.08,13.1567,3,3,0.64,1.6128,0.747949,1,34.3872,4.86666,7.50285,13.1413,14.7464
True,1790251957750000000,1790251957785456397,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.67,2.22166,142.25,0.03,17.583,10,10,0.67,1.5477,0.798253,1,31.4523,11.8393,9.71384,14.2646,5.49119
True,1790251959750000000,1790251959793656389,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.73,0.363544,140.25,0.13,13.7643,10,10,0.73,1.3797,0.840628,1,25.6203,3.67202,13.7768,9.57932,-1.29987
True,1790251963000000000,1790251963039208473,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.71,0.798474,137,0.08,15.4654,10,1,0.71,1.4413,0.825381,1,27.5587,12.0156,11.2898,11.4269,11.1986
True,1790251963750000000,1790251963775977091,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.72,0.860365,136.25,0.03,0.263332,2,2,0.72,1.4112,0.835917,1,26.5888,14.745,11.5651,11.5349,7.51222
True,1790251964500000000,1790251964526296776,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.78,0.0687511,135.5,0.08,13.5989,2,0,,,0.881871,1,,,,,
True,1790251965000000000,1790251965045797476,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.77,1.77345,135,0.18,4.58627,10,0,,,0.888138,1,,,,,
True,1790251976000000000,1790251976026329526,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.75,0.127801,124,0.38,5.36024,10,0,,,0.857177,1,,,,,
True,1790251983500000000,1790251983532475332,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.73,0.571795,116.5,0.08,14.8008,10,10,0.73,1.3797,0.842769,1,25.6203,14.3048,15.8059,9.90752,25.2654
True,1790251984250000000,1790251984266170622,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.73,5.80458,115.75,0.03,19.5538,10,10,0.73,1.3797,0.889397,1,25.6203,14.6692,17.374,6.11614,25.2267
True,1790251986250000000,1790251986300537889,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.84,0.0970909,113.75,0.33,4.41758,10,10,0.84,0.9408,0.924476,1,15.0592,5.55332,6.36231,-3.31482,14.5186
True,1790252001750000000,1790252001776530655,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.67,1.03346,98.25,0.13,10.545,10,10,0.67,1.5477,0.785103,1,31.4523,4.1367,7.04631,6.68084,30.0186
True,1790252007000000000,1790252007036577565,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.67,2.77929,93,0.08,10.7669,10,10,0.67,1.5477,0.805542,1,31.4523,11.292,11.178,13.5861,29.2259
True,1790252012500000000,1790252012555559358,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.69,0.338876,87.5,0.18,5.44055,10,10,0.69,1.4973,0.799881,1,29.5027,8.51237,1.80848,16.0105,9.12291
True,1790252020250000000,1790252020308016966,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.66,4.53177,79.75,0.03,18.1933,10,10,0.66,1.5708,0.814159,1,32.4292,14.5443,12.0587,26.7138,31.0282
True,1790252028250000000,1790252028270412421,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.72,12.1463,71.75,0.03,22.3041,10,10,0.72,1.4112,0.928924,1,26.5888,18.1404,24.35,24.9653,26.5415
True,1790252032500000000,1790252032550516781,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.9,0.439154,67.5,0.08,9.1574,10,10,0.9,0.63,0.959496,1,9.37,7.3998,7.15183,8.77704,9.36703
True,1790252033250000000,1790252033294822887,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.94,0.893853,66.75,0.03,21.6884,10,10,0.94,0.3948,0.977612,1,5.6052,3.90225,3.98166,5.21298,5.60343
True,1790252054500000000,1790252054532688454,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.98,0.553725,45.5,3.58,-20.7623,1,1,0.98,0.1372,0.959185,1,-2.1372,1.33691,0.0869828,-0.706621,-2.1372
True,1790252070000000000,1790252070028177114,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.93,1.89763,30,0.18,-11.3708,10,0,,,0.878351,1,,,,,
True,1790252070500000000,1790252070528403166,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.9,1.97268,29.5,0.08,-11.8569,10,0,,,0.842554,1,,,,,
True,1790252073000000000,1790252073030630754,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.8,7.4846,27,0.08,0.177915,10,10,0.8,1.12,0.68766,1,-21.12,-10.4168,-18.7077,-20.9279,-21.12
True,1790252073250000000,1790252073282829902,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.79,0.893166,26.75,0.03,3.40207,10,10,0.79,1.1613,0.903435,1,19.8387,3.37164,17.9496,19.6505,19.8387
True,1790252073750000000,1790252073768791268,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.76,3.06308,26.25,0.13,6.95501,10,10,0.76,1.2768,0.89956,1,22.7232,5.71872,19.8365,22.5213,22.7232
True,1790252075500000000,1790252075522601873,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.79,1.06043,24.5,0.08,11.8467,10,10,0.79,1.1613,0.905864,1,19.8387,15.8844,18.7341,19.534,19.8387
True,1790252078250000000,1790252078283199448,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.94,0.905198,21.75,0.03,-3.96733,10,10,0.94,0.3948,0.980071,1,5.6052,2.32777,5.41698,5.5579,5.6052
True,1790252517250000000,1790252517270425278,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.58,0.33423,482.75,0.03,17.2627,10,10,0.58,1.7052,0.64928,1,40.2948,3.603,5.63588,7.95377,10.5013
True,1790252523750000000,1790252523791550359,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.62,0.00818066,476.25,0.13,5.4865,10,10,0.62,1.6492,0.699434,1,36.3508,2.51154,1.99186,0.93451,12.3862
True,1790252571000000000,1790252571031112125,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.62,0.146338,429,0.38,12.8777,10,10,0.62,1.6492,0.701904,1,36.3508,2.73908,5.74828,14.8026,17.7171
True,1790252594500000000,1790252594554753995,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.68,0.281923,405.5,0.28,14.8053,10,0,,,0.777951,1,,,,,
True,1790252595250000000,1790252595303252560,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.7,0.0464119,404.75,0.33,8.67906,10,10,0.7,1.47,0.79756,1,28.53,7.36893,1.8616,5.89041,10.1409
True,1790252601750000000,1790252601788941473,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.68,0.0901033,398.25,0.63,7.18347,10,10,0.68,1.5232,0.775825,1,30.4768,9.61454,8.34173,9.56666,16.5663
True,1790252625750000000,1790252625764327845,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.19,2.33274,374.25,0.13,-18.8739,10,10,0.19,1.0773,0.0846279,0,17.9227,9.357,7.26368,5.23827,3.91694
True,1790252626500000000,1790252626536171012,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.16,0.174085,373.5,0.48,-3.53725,10,10,0.16,0.9408,0.0797446,0,15.0592,4.43423,3.71382,4.19331,1.48559
True,1790252627750000000,1790252627785249013,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.7,0.635098,372.25,0.23,10.8994,10,10,0.7,1.47,0.804625,1,28.53,8.09547,10.6531,8.64377,18.2339
True,1790252637250000000,1790252637275309164,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.19,0.00520796,362.75,0.53,-7.87038,10,10,0.19,1.0773,0.101782,0,17.9227,8.67544,8.22681,11.5058,9.46113
True,1790252640250000000,1790252640282166529,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.74,0.0926386,359.75,0.43,6.07122,10,10,0.74,1.3468,0.839632,1,24.6532,6.28779,-1.15389,0.476224,12.9449
True,1790252644750000000,1790252644779984959,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.15,0.390279,355.25,0.03,-12.3251,10,10,0.15,0.8925,0.0718018,0,14.1075,7.26626,8.26883,4.84877,6.70398
True,1790252647750000000,1790252647777096718,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.13,0.419563,352.25,0.23,-10.5282,10,10,0.13,0.7917,0.0597993,0,12.2083,6.47153,4.62398,0.20134,6.88317
True,1790252650500000000,1790252650529527372,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.66,1.25084,349.5,0.08,16.8028,10,10,0.66,1.5708,0.767114,1,32.4292,10.906,14.5564,18.3329,15.4472
True,1790252651250000000,1790252651262040691,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.68,1.28718,348.75,0.23,5.95377,10,10,0.68,1.5232,0.790423,1,30.4768,8.98227,13.2013,16.4653,15.725
True,1790252651750000000,1790252651778656934,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.69,0.439508,348.25,0.33,12.545,10,10,0.69,1.4973,0.791923,1,29.5027,7.56293,12.73,15.5921,16.3034
True,1790252652500000000,1790252652546056171,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.69,0.674078,347.5,1.08,3.0626,10,10,0.69,1.4973,0.794568,1,29.5027,10.2431,16.4264,16.2616,17.9987
True,1790252654250000000,1790252654266837866,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.73,0.562975,345.75,0.23,8.68622,10,10,0.73,1.3797,0.834872,1,25.6203,7.23062,12.3268,13.5922,15.5631
True,1790252657500000000,1790252657550055232,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.77,0.323573,342.5,0.28,15.8857,3,3,0.77,1.2397,0.86923,1,21.7603,6.18229,8.51929,12.9115,12.1953
True,1790252665250000000,1790252665287373056,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.79,0.514034,334.75,0.23,12.1102,10,10,0.79,1.1613,0.887312,1,19.8387,10.1267,11.7547,13.9147,9.34014
True,1790252667000000000,1790252667033199376,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.82,0.258423,333,1.08,5.68975,10,10,0.82,1.0332,0.907728,1,16.9668,9.16796,10.4397,11.1774,5.41684
True,1790252668000000000,1790252668020440774,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.84,0.374583,332,0.68,17.4119,10,10,0.84,0.9408,0.922007,1,15.0592,7.82771,9.37006,9.11897,5.57412
True,1790252670500000000,1790252670521584656,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.28,1.20945,329.5,0.28,-13.3962,10,10,0.28,1.4112,0.168116,0,26.5888,6.33519,1.08283,5.04052,19.6762
True,1790252671750000000,1790252671772430231,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.86,0.13023,328.25,0.13,10.3981,10,10,0.86,0.8428,0.932804,1,13.1572,7.79261,7.83867,6.79899,0.948967
