synthetic,t_decision,t_exec,ticker,event,side,limit_px,edge_c,tau_s,touch_age_s,ext_move_1s,attempt_ct,contracts,avg_px,fee_c,F_decision,settle,net_settle_c,net_1s_c,net_5s_c,net_10s_c,net_60s_c
True,1790251252000000000,1790251252049542780,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.48,0.324635,848,0.88,10.17,10,10,0.48,1.7472,0.501081,1,50.2528,-1.56669,-2.1658,-1.71954,3.00215
True,1790251334250000000,1790251334279240021,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.39,0.199689,765.75,0.13,-31.3284,6,6,0.39,1.6653,0.312921,1,-62.6653,8.36125,5.46225,7.51799,19.972
True,1790251410000000000,1790251410066110294,KXBTCD-26SEP241215-T83750,KXBTCD-26SEP241215,-1,0.56,0.195679,690,0.08,-23.0547,10,0,,,0.534704,1,,,,,
True,1790251423500000000,1790251423585018216,KXBTCD-26SEP241215-T83750,KXBTCD-26SEP241215,-1,0.54,1.87987,676.5,0.08,-9.15385,2,2,0.54,1.7388,0.503242,1,-47.7388,0.271816,-2.59061,0.506289,-4.50263
True,1790251424250000000,1790251424290819015,KXBTCD-26SEP241215-T83750,KXBTCD-26SEP241215,-1,0.53,0.17087,675.75,0.63,8.83434,10,10,0.53,1.7437,0.509228,1,-48.7437,-0.138832,-2.73851,-2.47735,-6.19591
True,1790251798250000000,1790251798304246823,KXBTCD-26SEP241215-T83750,KXBTCD-26SEP241215,1,0.81,0.0340613,301.75,0.43,20.3104,10,10,0.81,1.0773,0.899121,1,17.9227,7.70253,10.0898,7.77312,15.2509
True,1790251862000000000,1790251862036058910,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.44,0.655222,238,0.18,-3.34394,10,10,0.44,1.7248,0.370515,1,-57.7248,-1.70938,9.62508,6.4758,12.5122
True,1790251865500000000,1790251865589094033,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.44,0.355691,234.5,0.28,-7.85831,1,1,0.44,1.7248,0.374902,1,-57.7248,11.7706,14.8383,-6.66648,12.0095
True,1790251866250000000,1790251866319431303,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.42,0.556239,233.75,0.03,-17.9219,4,4,0.42,1.7052,0.342724,1,-59.7052,8.83654,10.1951,-15.3706,7.61261
True,1790251867250000000,1790251867311788537,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.4,0.547162,232.75,0.03,-3.11984,3,3,0.4,1.68,0.314589,1,-61.68,10.1062,-2.13955,-17.2853,-2.32744
True,1790251873000000000,1790251873055086488,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.41,1.5771,227,0.18,20.8372,10,0,,,0.451203,1,,,,,
