synthetic,variant,policy,family,regime,events,d_mean,d_lo,d_hi
True,nearest_3,B,tau_bucket,1-5m,4,-5.42691,-33.6643,81.6581
True,nearest_3,B,tau_bucket,10-30m,4,8.89776,-45.2354,69.7244
True,nearest_3,B,tau_bucket,5-10m,4,-39.3935,-192.344,8771.04
True,nearest_3,B,vol_tercile,high,3,-7.73939,-22.8355,1.47449e+07
True,nearest_3,B,vol_tercile,low,2,-14.756,-38.8906,9.37855
True,nearest_3,B,vol_tercile,mid,2,14.1588,-640.213,668.53
True,nearest_3,B,vol_tercile,n/a,1,62.4,,
True,nearest_3,B,weekday,weekday,4,-6.24814,-384.042,14.8971
True,nearest_3,C,tau_bucket,1-5m,4,-7.45667,-199.003,11.6585
True,nearest_3,C,tau_bucket,10-30m,4,3.40952,-19.1649,25.5755
True,nearest_3,C,tau_bucket,5-10m,4,-31.6426,-181.94,1629.57
True,nearest_3,C,vol_tercile,high,3,-8.45111,-38.8168,7.29883e+07
True,nearest_3,C,vol_tercile,low,2,-9.95,-43.9391,24.0391
True,nearest_3,C,vol_tercile,mid,2,-33.2045,-3.93507e+09,380.902
True,nearest_3,C,vol_tercile,n/a,1,53.5,,
True,nearest_3,C,weekday,weekday,4,-9.19915,-49.7161,55.0173
True,all,B,tau_bucket,1-5m,4,-9.26441,-2.20039e+07,24.1038
True,all,B,tau_bucket,10-30m,4,-22.4705,-1515.21,98.6332
True,all,B,tau_bucket,5-10m,4,-39.1996,-326.276,111.333
True,all,B,vol_tercile,high,3,-19.6285,-141.24,3.10221e+08
True,all,B,vol_tercile,low,2,-27.2257,-280.293,225.841
True,all,B,vol_tercile,mid,3,-1.7421,-441.352,1964.27
True,all,B,vol_tercile,n/a,1,48.2939,,
True,all,B,weekday,weekday,4,-14.9766,-64.2012,12.0903
True,all,C,tau_bucket,1-5m,4,-24.7717,-9.02072e+09,38.4267
True,all,C,tau_bucket,10-30m,4,-21.7331,-1585.79,98.4851
True,all,C,tau_bucket,5-10m,4,-41.1921,-6085.49,1085.51
True,all,C,vol_tercile,high,3,-6.98846,-114.903,100.926
True,all,C,vol_tercile,low,2,-26.5719,-26.5719,5.91972e+08
True,all,C,vol_tercile,mid,3,-71.1306,-1.6465e+11,397.686
True,all,C,vol_tercile,n/a,1,48.2032,,
True,all,C,weekday,weekday,4,-20.7308,-213.009,170.646
