period,grid,model,tau_min,brier,reliability,resolution,uncertainty,within_bin,ece
validation,z,G-raw-10m,all,0.079639,0.00035527,0.17058,0.25,-0.00013859,
validation,z,G-raw-10m,60,0.086807,0.00024586,0.16326,0.24999,-0.00017068,0.014498
validation,z,G-raw-10m,45,0.085673,0.00022741,0.16439,0.25,-0.00016636,0.013413
validation,z,G-raw-10m,30,0.08411,0.0001933,0.16591,0.25,-0.0001697,0.012
validation,z,G-raw-10m,20,0.079479,0.00049687,0.17089,0.25,-0.00012731,0.016057
validation,z,G-raw-10m,15,0.080024,0.00024954,0.17008,0.25,-0.00014601,0.012032
validation,z,G-raw-10m,10,0.07958,0.0003398,0.17061,0.25,-0.00014615,0.013643
validation,z,G-raw-10m,5,0.075385,0.00050456,0.17502,0.25,-9.8344e-05,0.015242
validation,z,G-raw-10m,3,0.073255,0.00072767,0.17735,0.25,-0.00012079,0.017465
validation,z,G-raw-10m,2,0.072442,0.00089665,0.17835,0.25,-0.00010579,0.019599
validation,z,G-raw-30m,all,0.079801,0.00051034,0.17059,0.25,-0.00011836,
validation,z,G-raw-30m,60,0.086624,0.000287,0.1635,0.24999,-0.00015418,0.014541
validation,z,G-raw-30m,45,0.085516,0.00026118,0.16459,0.25,-0.00015129,0.01387
validation,z,G-raw-30m,30,0.084066,0.00025692,0.16605,0.25,-0.00013367,0.013064
validation,z,G-raw-30m,20,0.079598,0.00058022,0.17086,0.25,-0.00012563,0.016839
validation,z,G-raw-30m,15,0.080169,0.00037164,0.17007,0.25,-0.00013299,0.013839
validation,z,G-raw-30m,10,0.079727,0.00046527,0.17061,0.25,-0.00012089,0.015114
validation,z,G-raw-30m,5,0.075787,0.00075294,0.17487,0.25,-9.0518e-05,0.018249
validation,z,G-raw-30m,3,0.073725,0.0010382,0.17722,0.25,-9.0543e-05,0.021822
validation,z,G-raw-30m,2,0.073001,0.0012809,0.17821,0.25,-7.182e-05,0.024225
validation,z,G-raw-2h,all,0.080813,0.00096621,0.17014,0.25,-1.3364e-05,
validation,z,G-raw-2h,60,0.087211,0.00056938,0.1633,0.24999,-4.655e-05,0.019097
validation,z,G-raw-2h,45,0.0862,0.00053068,0.16428,0.25,-4.7656e-05,0.018198
validation,z,G-raw-2h,30,0.084977,0.00058471,0.16557,0.25,-3.8153e-05,0.018776
validation,z,G-raw-2h,20,0.080661,0.0010141,0.17033,0.25,-2.4199e-05,0.022383
validation,z,G-raw-2h,15,0.081193,0.0007835,0.16956,0.25,-2.762e-05,0.019725
validation,z,G-raw-2h,10,0.080715,0.00088909,0.17014,0.25,-2.8687e-05,0.020767
validation,z,G-raw-2h,5,0.076991,0.0013189,0.17432,0.25,-5.2013e-06,0.024775
validation,z,G-raw-2h,3,0.074994,0.001681,0.17669,0.25,-6.1193e-07,0.028659
validation,z,G-raw-2h,2,0.074371,0.0020262,0.17766,0.25,7.4971e-06,0.0313
validation,z,G-raw-6h,all,0.082443,0.0018917,0.16938,0.25,-7.1733e-05,
validation,z,G-raw-6h,60,0.088457,0.001243,0.16268,0.24999,-9.5031e-05,0.027319
validation,z,G-raw-6h,45,0.087551,0.0012262,0.16356,0.25,-0.00011494,0.026684
validation,z,G-raw-6h,30,0.086447,0.0013078,0.16477,0.25,-8.569e-05,0.027041
validation,z,G-raw-6h,20,0.082324,0.0019547,0.16954,0.25,-8.6219e-05,0.031307
validation,z,G-raw-6h,15,0.082847,0.0016558,0.16872,0.25,-8.6505e-05,0.028995
validation,z,G-raw-6h,10,0.082357,0.0017906,0.16936,0.25,-6.9316e-05,0.029804
validation,z,G-raw-6h,5,0.078749,0.0023783,0.17359,0.25,-4.2964e-05,0.034404
validation,z,G-raw-6h,3,0.076872,0.0028732,0.17596,0.25,-4.4351e-05,0.038355
validation,z,G-raw-6h,2,0.076383,0.0033042,0.1769,0.25,-2.3823e-05,0.04109
validation,z,G-raw-1d,all,0.085025,0.0035477,0.16846,0.25,-6.4701e-05,
validation,z,G-raw-1d,60,0.090608,0.0026109,0.1619,0.24999,-9.009e-05,0.039555
validation,z,G-raw-1d,45,0.089776,0.0025841,0.16275,0.25,-5.9993e-05,0.039194
