period,model,param,tau_min,mean,min,max
test,EMP-blend,rms_u,2,1,1,1
test,EMP-blend,rms_u,3,1,1,1
test,EMP-blend,rms_u,5,1,1,1
test,EMP-blend,rms_u,10,1,1,1
test,EMP-blend,rms_u,15,1,1,1
test,EMP-blend,rms_u,20,1,1,1
test,EMP-blend,rms_u,30,1,1,1
test,EMP-blend,rms_u,45,1,1,1
test,EMP-blend,rms_u,60,1,1,1
test,MIX-blend,c,2,1,1,1
test,MIX-blend,c,3,0.9988,0.9882,1
test,MIX-blend,c,5,0.9993,0.9855,1
test,MIX-blend,c,10,0.9994,0.9881,1
test,MIX-blend,c,15,0.9965,0.9739,1
test,MIX-blend,c,20,0.9972,0.9725,1
test,MIX-blend,c,30,0.9983,0.979,1
test,MIX-blend,c,45,0.9966,0.9794,1
test,MIX-blend,c,60,0.9978,0.984,1
test,MIX-blend,cv,2,0.4609,0.4043,0.512
test,MIX-blend,cv,3,0.4299,0.3792,0.5005
test,MIX-blend,cv,5,0.3969,0.3655,0.4563
test,MIX-blend,cv,10,0.3763,0.3382,0.4308
test,MIX-blend,cv,15,0.3726,0.3272,0.4386
test,MIX-blend,cv,20,0.4075,0.372,0.4527
test,MIX-blend,cv,30,0.3816,0.3429,0.4281
test,MIX-blend,cv,45,0.4136,0.3842,0.4457
test,MIX-blend,cv,60,0.4223,0.3858,0.463
test,T-blend,c,2,1.003,1,1.025
test,T-blend,c,3,1.002,1,1.015
test,T-blend,c,5,0.999,0.9904,1.002
test,T-blend,c,10,0.9992,0.99,1
test,T-blend,c,15,0.993,0.9751,1
test,T-blend,c,20,0.9984,0.989,1
test,T-blend,c,30,0.9965,0.987,1
test,T-blend,c,45,0.9963,0.9819,1
test,T-blend,c,60,0.9977,0.9874,1.008
test,T-blend,nu,2,4.446,3.843,5.13
test,T-blend,nu,3,4.787,3.973,5.471
test,T-blend,nu,5,5.209,4.363,5.801
test,T-blend,nu,10,5.53,4.647,6.381
test,T-blend,nu,15,5.556,4.678,6.451
test,T-blend,nu,20,4.944,4.303,5.552
test,T-blend,nu,30,5.366,4.539,6.198
test,T-blend,nu,45,4.81,4.348,5.35
test,T-blend,nu,60,4.69,4.179,5.319
test,T-raw-2h,c,2,0.8795,0.8334,0.9065
test,T-raw-2h,c,3,0.8802,0.8511,0.8976
test,T-raw-2h,c,5,0.9042,0.8711,0.9237
test,T-raw-2h,c,10,0.9654,0.937,0.9878
test,T-raw-2h,c,15,0.9849,0.9745,0.9958
test,T-raw-2h,c,20,1.008,0.9951,1.02
test,T-raw-2h,c,30,1.086,1.068,1.104
test,T-raw-2h,c,45,1.096,1.082,1.11
test,T-raw-2h,c,60,1.12,1.109,1.143
test,T-raw-2h,nu,2,3.509,3.175,3.843
test,T-raw-2h,nu,3,3.768,3.255,4.133
test,T-raw-2h,nu,5,3.998,3.444,4.378
test,T-raw-2h,nu,10,4.215,3.621,4.711
test,T-raw-2h,nu,15,4.212,3.689,4.714
test,T-raw-2h,nu,20,3.749,3.47,4.044
test,T-raw-2h,nu,30,3.708,3.405,4.008
test,T-raw-2h,nu,45,3.646,3.465,3.885
test,T-raw-2h,nu,60,3.609,3.278,3.921
test,blend,w_10m,2,0.5463,0.473,0.6438
test,blend,w_10m,3,0.5598,0.4755,0.6422
test,blend,w_10m,5,0.5525,0.3722,0.6763
test,blend,w_10m,10,0.4631,0.313,0.6401
test,blend,w_10m,15,0.395,0.262,0.5293
test,blend,w_10m,20,0.2794,0.1015,0.4663
test,blend,w_10m,30,0.501,0.4459,0.5713
test,blend,w_10m,45,0.3084,0.1885,0.3918
test,blend,w_10m,60,0.2219,0.1042,0.3469
test,blend,w_1d,2,0.09789,0.04492,0.158
test,blend,w_1d,3,0.08178,0.01411,0.1642
test,blend,w_1d,5,0.1177,0.08495,0.1971
test,blend,w_1d,10,0.1068,0.08236,0.1411
test,blend,w_1d,15,0.1908,0.1251,0.3257
test,blend,w_1d,20,0.2296,0.1508,0.3252
test,blend,w_1d,30,0.2435,0.2081,0.2863
