period,model,tau_min,bin_lo,bin_hi,n,p_mean,y_mean,y_lo,y_hi,gap
validation,G-raw-2h,60,0,0.01,25146,0.0035234,0.015152,0.013714,0.016737,0.011628
validation,G-raw-2h,60,0.01,0.02,8382,0.012251,0.023264,0.020249,0.026716,0.011013
validation,G-raw-2h,60,0.02,0.05,16764,0.031453,0.03603,0.033313,0.038959,0.0045765
validation,G-raw-2h,60,0.05,0.1,8382,0.06688,0.059055,0.054208,0.064306,-0.0078248
validation,G-raw-2h,60,0.1,0.2,16764,0.13224,0.10642,0.10184,0.11118,-0.025822
validation,G-raw-2h,60,0.2,0.3,8382,0.22671,0.18599,0.17781,0.19447,-0.040718
validation,G-raw-2h,60,0.3,0.4,8382,0.3086,0.27678,0.26731,0.28646,-0.03182
validation,G-raw-2h,60,0.4,0.5,8382,0.40133,0.38833,0.37795,0.39881,-0.012998
validation,G-raw-2h,60,0.5,0.6,16764,0.54934,0.57224,0.56473,0.57971,0.022903
validation,G-raw-2h,60,0.6,0.7,8382,0.6914,0.74266,0.73319,0.75191,0.051266
validation,G-raw-2h,60,0.7,0.8,8382,0.77329,0.82653,0.81828,0.83449,0.053245
validation,G-raw-2h,60,0.8,0.9,16764,0.86776,0.898,0.89332,0.90249,0.030236
validation,G-raw-2h,60,0.9,0.95,8382,0.93312,0.94083,0.93557,0.94568,0.0077055
validation,G-raw-2h,60,0.95,0.98,16764,0.96855,0.96218,0.95919,0.96496,-0.006366
validation,G-raw-2h,60,0.98,0.99,8382,0.98775,0.9753,0.97176,0.97842,-0.012445
validation,G-raw-2h,60,0.99,1,25146,0.99648,0.98525,0.98368,0.98666,-0.01123
validation,G-raw-2h,45,0,0.01,25146,0.0035268,0.012646,0.011338,0.014104,0.0091193
validation,G-raw-2h,45,0.01,0.02,8382,0.01226,0.021594,0.018694,0.024932,0.0093336
validation,G-raw-2h,45,0.02,0.05,16764,0.03147,0.033524,0.030905,0.036358,0.0020547
validation,G-raw-2h,45,0.05,0.1,8382,0.066905,0.05643,0.051691,0.061577,-0.010474
validation,G-raw-2h,45,0.1,0.2,16764,0.13227,0.10308,0.098566,0.10777,-0.029192
validation,G-raw-2h,45,0.2,0.3,8382,0.22674,0.18516,0.17699,0.19362,-0.041582
validation,G-raw-2h,45,0.3,0.4,8382,0.30863,0.27487,0.26542,0.28453,-0.033751
validation,G-raw-2h,45,0.4,0.5,8382,0.40134,0.3869,0.37653,0.39738,-0.014442
validation,G-raw-2h,45,0.5,0.6,16764,0.54933,0.57146,0.56396,0.57894,0.022134
validation,G-raw-2h,45,0.6,0.7,8382,0.69137,0.73574,0.7262,0.74507,0.044369
validation,G-raw-2h,45,0.7,0.8,8382,0.77326,0.82188,0.81354,0.82992,0.048621
validation,G-raw-2h,45,0.8,0.9,16764,0.86773,0.89806,0.89338,0.90254,0.030326
validation,G-raw-2h,45,0.9,0.95,8382,0.9331,0.94059,0.93532,0.94545,0.0074915
validation,G-raw-2h,45,0.95,0.98,16764,0.96853,0.96337,0.96042,0.96611,-0.0051566
validation,G-raw-2h,45,0.98,0.99,8382,0.98774,0.97686,0.97341,0.97986,-0.010885
validation,G-raw-2h,45,0.99,1,25146,0.99647,0.98684,0.98535,0.98817,-0.0096363
validation,G-raw-2h,30,0,0.01,25146,0.0035339,0.012328,0.011037,0.013768,0.0087941
validation,G-raw-2h,30,0.01,0.02,8382,0.012279,0.021117,0.018251,0.024421,0.0088381
validation,G-raw-2h,30,0.02,0.05,16764,0.031503,0.031794,0.029244,0.034559,0.00029162
validation,G-raw-2h,30,0.05,0.1,8382,0.066954,0.049749,0.045298,0.054614,-0.017205
validation,G-raw-2h,30,0.1,0.2,16764,0.13233,0.093772,0.089452,0.098279,-0.038558
validation,G-raw-2h,30,0.2,0.3,8382,0.2268,0.17848,0.17043,0.18682,-0.048321
validation,G-raw-2h,30,0.3,0.4,8382,0.30867,0.26605,0.2567,0.27561,-0.042624
validation,G-raw-2h,30,0.4,0.5,8382,0.40137,0.37342,0.36312,0.38383,-0.027948
validation,G-raw-2h,30,0.5,0.6,16764,0.54932,0.56067,0.55314,0.56816,0.011349
validation,G-raw-2h,30,0.6,0.7,8382,0.69133,0.73097,0.72137,0.74036,0.039642
validation,G-raw-2h,30,0.7,0.8,8382,0.7732,0.81365,0.80517,0.82184,0.040446
validation,G-raw-2h,30,0.8,0.9,16764,0.86767,0.89794,0.89326,0.90243,0.030266
validation,G-raw-2h,30,0.9,0.95,8382,0.93305,0.94178,0.93656,0.94659,0.0087343
validation,G-raw-2h,30,0.95,0.98,16764,0.9685,0.96534,0.96247,0.96801,-0.0031549
validation,G-raw-2h,30,0.98,0.99,8382,0.98772,0.97829,0.97494,0.98119,-0.0094346
validation,G-raw-2h,30,0.99,1,25146,0.99647,0.98648,0.98498,0.98783,-0.0099872
validation,G-raw-2h,20,0,0.01,25146,0.0035446,0.010618,0.0094238,0.011962,0.0070734
validation,G-raw-2h,20,0.01,0.02,8382,0.012307,0.017895,0.01527,0.020962,0.0055889
validation,G-raw-2h,20,0.02,0.05,16764,0.031553,0.028692,0.026271,0.03133,-0.002861
validation,G-raw-2h,20,0.05,0.1,8382,0.06703,0.047602,0.043247,0.052371,-0.019428
validation,G-raw-2h,20,0.1,0.2,16764,0.13242,0.090849,0.086592,0.095294,-0.041573
validation,G-raw-2h,20,0.2,0.3,8382,0.22689,0.16392,0.15615,0.172,-0.062964
validation,G-raw-2h,20,0.3,0.4,8382,0.30874,0.25292,0.24373,0.26234,-0.055816
validation,G-raw-2h,20,0.4,0.5,8382,0.4014,0.37211,0.36182,0.38251,-0.029298
validation,G-raw-2h,20,0.5,0.6,16764,0.5493,0.56973,0.56222,0.57721,0.020435
validation,G-raw-2h,20,0.6,0.7,8382,0.69126,0.75376,0.74442,0.76286,0.062497
validation,G-raw-2h,20,0.7,0.8,8382,0.77311,0.8325,0.82435,0.84034,0.059385
validation,G-raw-2h,20,0.8,0.9,16764,0.86758,0.90999,0.90556,0.91422,0.042408
validation,G-raw-2h,20,0.9,0.95,8382,0.93297,0.95252,0.94775,0.95687,0.019548
validation,G-raw-2h,20,0.95,0.98,16764,0.96845,0.97167,0.96904,0.97407,0.0032189
validation,G-raw-2h,20,0.98,0.99,8382,0.98769,0.98258,0.97955,0.98517,-0.0051117
validation,G-raw-2h,20,0.99,1,25146,0.99646,0.98966,0.98833,0.99084,-0.006795
validation,G-raw-2h,15,0,0.01,25146,0.0035556,0.0092261,0.0081171,0.010485,0.0056705
validation,G-raw-2h,15,0.01,0.02,8382,0.012335,0.016702,0.014172,0.019676,0.0043672
validation,G-raw-2h,15,0.02,0.05,16764,0.031605,0.025889,0.023591,0.028404,-0.0057164
validation,G-raw-2h,15,0.05,0.1,8382,0.067108,0.044142,0.03995,0.048752,-0.022966
