period,grid,group,level,model,n,n_days,brier,brier_lo,brier_hi,log_loss,ll_lo,ll_hi,d_ll_vs_base,d_ll_lo,d_ll_hi,d_brier_vs_base,d_brier_lo,d_brier_hi,citl,base
validation,z,all,all,G-raw-10m,1885950,366,0.079639,0.078547,0.080748,0.26796,0.26376,0.27227,-0.0031444,-0.0043223,-0.0019799,-0.0011733,-0.0012982,-0.0010412,0.00068878,G-raw-2h
validation,z,all,all,G-raw-30m,1885950,366,0.079801,0.078728,0.080887,0.26637,0.26246,0.27022,-0.0047347,-0.0055018,-0.0039295,-0.0010112,-0.001107,-0.00091506,0.00068878,G-raw-2h
validation,z,all,all,G-raw-2h,1885950,366,0.080813,0.07976,0.081876,0.27111,0.26748,0.27483,0,0,0,0,0,0,0.00068878,G-raw-2h
validation,z,all,all,G-raw-6h,1885950,366,0.082443,0.081488,0.083429,0.27959,0.27621,0.28285,0.0084889,0.0073955,0.0096164,0.0016303,0.0014086,0.0018565,0.00068878,G-raw-2h
validation,z,all,all,G-raw-1d,1885950,366,0.085025,0.084104,0.085995,0.29107,0.28751,0.29487,0.019967,0.017354,0.02273,0.0042121,0.0035526,0.0048752,0.00068878,G-raw-2h
validation,z,all,all,G-seas-10m,1885950,366,0.079577,0.078499,0.080656,0.26768,0.26345,0.27196,-0.0034243,-0.0046759,-0.0021221,-0.0012353,-0.0013669,-0.0010929,0.00068878,G-raw-2h
validation,z,all,all,G-seas-30m,1885950,366,0.079669,0.078601,0.080734,0.26574,0.26175,0.26952,-0.0053681,-0.0063029,-0.0043675,-0.001144,-0.001256,-0.0010255,0.00068878,G-raw-2h
validation,z,all,all,G-seas-2h,1885950,366,0.080251,0.079196,0.081306,0.26802,0.26415,0.27185,-0.0030865,-0.0038937,-0.0022124,-0.00056172,-0.0006617,-0.00044556,0.00068878,G-raw-2h
validation,z,all,all,G-seas-6h,1885950,366,0.080953,0.079941,0.081988,0.27185,0.26829,0.27575,0.00074111,-0.00046352,0.0021545,0.00013985,-1.7143e-05,0.00033636,0.00068878,G-raw-2h
validation,z,all,all,G-seas-1d,1885950,366,0.081973,0.080974,0.082934,0.27723,0.27374,0.2811,0.0061219,0.0044093,0.0081601,0.0011599,0.00087753,0.0014704,0.00068878,G-raw-2h
validation,z,all,all,G-blend-raw,1885950,366,0.079859,0.078806,0.080895,0.26523,0.26159,0.26887,-0.0058774,-0.0067013,-0.0050329,-0.00095388,-0.0010523,-0.00084354,0.00068878,G-raw-2h
validation,z,all,all,G-blend,1885950,366,0.079493,0.078445,0.08053,0.26359,0.25987,0.26722,-0.0075205,-0.0084717,-0.0065165,-0.0013201,-0.0014335,-0.0012002,0.00068878,G-raw-2h
validation,z,all,all,T-raw-2h,1885950,366,0.079772,0.078614,0.080897,0.26604,0.26227,0.26986,-0.0050632,-0.0054636,-0.0046857,-0.0010406,-0.0011462,-0.00093303,0.00068878,G-raw-2h
validation,z,all,all,T-blend,1885950,366,0.078877,0.07775,0.079984,0.26009,0.25637,0.26379,-0.01102,-0.011834,-0.010203,-0.0019354,-0.0020545,-0.0018075,0.00068878,G-raw-2h
validation,z,all,all,MIX-blend,1885950,366,0.078894,0.077774,0.079991,0.26028,0.25662,0.26391,-0.010829,-0.011663,-0.010002,-0.0019188,-0.0020365,-0.0017939,0.00068878,G-raw-2h
validation,z,all,all,EMP-blend,1885950,366,0.078879,0.077757,0.079975,0.26009,0.25638,0.2638,-0.011014,-0.011817,-0.010191,-0.0019342,-0.0020578,-0.0018056,-0.0012708,G-raw-2h
validation,z,tau,60m,G-raw-10m,209550,366,0.086807,0.085096,0.088592,0.30081,0.29349,0.30838,0.0072079,0.0043725,0.01018,-0.00040422,-0.00062596,-0.00014694,0.0027869,G-raw-2h
validation,z,tau,45m,G-raw-10m,209550,366,0.085673,0.083959,0.087352,0.29111,0.28441,0.2981,0.0023072,-7.3237e-05,0.004884,-0.00052729,-0.00075779,-0.00030026,0.0014984,G-raw-2h
validation,z,tau,30m,G-raw-10m,209550,366,0.08411,0.082594,0.085695,0.28475,0.27862,0.29139,-0.00036224,-0.0028284,0.0020192,-0.00086709,-0.0010989,-0.00065016,-0.0020425,G-raw-2h
validation,z,tau,20m,G-raw-10m,209550,366,0.079479,0.078054,0.080959,0.26743,0.26172,0.27327,-0.0037444,-0.0060279,-0.0014748,-0.0011824,-0.0014124,-0.00094709,0.00073968,G-raw-2h
validation,z,tau,15m,G-raw-10m,209550,366,0.080024,0.078634,0.081506,0.26699,0.26143,0.27281,-0.0043619,-0.0064772,-0.0021572,-0.0011694,-0.0013853,-0.00093109,-0.00013839,G-raw-2h
validation,z,tau,10m,G-raw-10m,209550,366,0.07958,0.078179,0.08083,0.26483,0.25955,0.2699,-0.005046,-0.0068873,-0.003128,-0.0011352,-0.0013782,-0.00089881,0.0015128,G-raw-2h
validation,z,tau,5m,G-raw-10m,209550,366,0.075385,0.073992,0.076681,0.25008,0.2453,0.25478,-0.0076514,-0.0091167,-0.0059695,-0.0016063,-0.0018197,-0.0013966,0.00042472,G-raw-2h
validation,z,tau,3m,G-raw-10m,209550,366,0.073255,0.071951,0.074559,0.24322,0.23879,0.24778,-0.008157,-0.0096792,-0.0066212,-0.0017385,-0.0019687,-0.0015195,0.0009592,G-raw-2h
validation,z,tau,2m,G-raw-10m,209550,366,0.072442,0.071122,0.073713,0.24241,0.23771,0.24712,-0.0084919,-0.010355,-0.0065622,-0.0019294,-0.0021632,-0.0016917,0.00045812,G-raw-2h
validation,z,tau,60m,G-raw-30m,209550,366,0.086624,0.084943,0.088338,0.2935,0.28713,0.30004,-0.00010588,-0.0016332,0.0015928,-0.00058725,-0.00073761,-0.00043008,0.0027869,G-raw-2h
validation,z,tau,45m,G-raw-30m,209550,366,0.085516,0.08382,0.087133,0.28661,0.28058,0.2927,-0.0021946,-0.0034768,-0.0007412,-0.0006838,-0.00083739,-0.00053242,0.0014984,G-raw-2h
validation,z,tau,30m,G-raw-30m,209550,366,0.084066,0.082529,0.085639,0.28104,0.2754,0.28705,-0.0040702,-0.0053599,-0.0027839,-0.00091079,-0.0010612,-0.00076874,-0.0020425,G-raw-2h
validation,z,tau,20m,G-raw-30m,209550,366,0.079598,0.078183,0.081042,0.26601,0.26084,0.2712,-0.0051716,-0.0065513,-0.0038308,-0.0010639,-0.0012243,-0.00090483,0.00073968,G-raw-2h
validation,z,tau,15m,G-raw-30m,209550,366,0.080169,0.078763,0.081608,0.26601,0.26092,0.27118,-0.0053413,-0.0065962,-0.0039883,-0.0010244,-0.0011707,-0.00088226,-0.00013839,G-raw-2h
validation,z,tau,10m,G-raw-30m,209550,366,0.079727,0.078331,0.080962,0.26451,0.25964,0.26917,-0.0053652,-0.0065992,-0.0041077,-0.00098766,-0.0011308,-0.00084034,0.0015128,G-raw-2h
validation,z,tau,5m,G-raw-30m,209550,366,0.075787,0.074467,0.077111,0.25133,0.2467,0.25578,-0.0064075,-0.0074185,-0.0054056,-0.0012039,-0.0013503,-0.0010611,0.00042472,G-raw-2h
