period,model,tau_min,z,side,n_hours,freq,freq_lo,freq_hi,model_p
validation,G-raw-2h,60,1,up,8382,0.12777,0.12017,0.13535,0.15866
validation,G-raw-2h,60,1,down,8382,0.11954,0.11252,0.12622,0.15866
validation,G-raw-2h,60,1,pooled,8382,0.12366,0.11856,0.12866,0.15866
validation,G-raw-2h,60,1.5,up,8382,0.059055,0.05387,0.064183,0.066807
validation,G-raw-2h,60,1.5,down,8382,0.059174,0.05414,0.064447,0.066807
validation,G-raw-2h,60,1.5,pooled,8382,0.059115,0.055727,0.062383,0.066807
validation,G-raw-2h,60,2,up,8382,0.031138,0.027569,0.035042,0.02275
validation,G-raw-2h,60,2,down,8382,0.03257,0.029145,0.035976,0.02275
validation,G-raw-2h,60,2,pooled,8382,0.031854,0.029475,0.034338,0.02275
validation,G-raw-2h,60,2.5,up,8382,0.019208,0.016415,0.022121,0.0062097
validation,G-raw-2h,60,2.5,down,8382,0.018731,0.016131,0.02175,0.0062097
validation,G-raw-2h,60,2.5,pooled,8382,0.018969,0.017106,0.021077,0.0062097
validation,G-raw-2h,60,3,up,8382,0.011215,0.0089986,0.013543,0.0013499
validation,G-raw-2h,60,3,down,8382,0.011095,0.0090314,0.013109,0.0013499
validation,G-raw-2h,60,3,pooled,8382,0.011155,0.0096176,0.012712,0.0013499
validation,G-raw-2h,60,3.5,up,8382,0.0077547,0.0060018,0.0097115,0.00023263
validation,G-raw-2h,60,3.5,down,8382,0.0065617,0.0049957,0.0081919,0.00023263
validation,G-raw-2h,60,3.5,pooled,8382,0.0071582,0.0059834,0.0084086,0.00023263
validation,G-raw-2h,45,1,up,8382,0.12193,0.11587,0.12884,0.15866
validation,G-raw-2h,45,1,down,8382,0.12145,0.11455,0.12789,0.15866
validation,G-raw-2h,45,1,pooled,8382,0.12169,0.11765,0.12606,0.15866
validation,G-raw-2h,45,1.5,up,8382,0.05643,0.051541,0.061954,0.066807
validation,G-raw-2h,45,1.5,down,8382,0.059413,0.054894,0.064133,0.066807
validation,G-raw-2h,45,1.5,pooled,8382,0.057922,0.054614,0.061508,0.066807
validation,G-raw-2h,45,2,up,8382,0.028394,0.024991,0.031984,0.02275
validation,G-raw-2h,45,2,down,8382,0.0309,0.027446,0.034455,0.02275
validation,G-raw-2h,45,2,pooled,8382,0.029647,0.027223,0.032078,0.02275
validation,G-raw-2h,45,2.5,up,8382,0.015987,0.013279,0.018918,0.0062097
validation,G-raw-2h,45,2.5,down,8382,0.016822,0.014405,0.019585,0.0062097
validation,G-raw-2h,45,2.5,pooled,8382,0.016404,0.014472,0.018573,0.0062097
validation,G-raw-2h,45,3,up,8382,0.01026,0.008181,0.01244,0.0013499
validation,G-raw-2h,45,3,down,8382,0.0095443,0.007517,0.011645,0.0013499
validation,G-raw-2h,45,3,pooled,8382,0.0099022,0.0082954,0.011563,0.0013499
validation,G-raw-2h,45,3.5,up,8382,0.0071582,0.0053865,0.0088988,0.00023263
validation,G-raw-2h,45,3.5,down,8382,0.0058459,0.00419,0.0075344,0.00023263
validation,G-raw-2h,45,3.5,pooled,8382,0.006502,0.0052491,0.0077148,0.00023263
validation,G-raw-2h,30,1,up,8382,0.11346,0.1068,0.12065,0.15866
validation,G-raw-2h,30,1,down,8382,0.12229,0.11629,0.12905,0.15866
validation,G-raw-2h,30,1,pooled,8382,0.11787,0.1132,0.12282,0.15866
validation,G-raw-2h,30,1.5,up,8382,0.049511,0.044691,0.054548,0.066807
validation,G-raw-2h,30,1.5,down,8382,0.057981,0.053558,0.063111,0.066807
validation,G-raw-2h,30,1.5,pooled,8382,0.053746,0.050513,0.057085,0.066807
validation,G-raw-2h,30,2,up,8382,0.026963,0.023404,0.030476,0.02275
validation,G-raw-2h,30,2,down,8382,0.028036,0.024578,0.031626,0.02275
validation,G-raw-2h,30,2,pooled,8382,0.027499,0.025109,0.029998,0.02275
validation,G-raw-2h,30,2.5,up,8382,0.015509,0.012825,0.018057,0.0062097
validation,G-raw-2h,30,2.5,down,8382,0.016822,0.013987,0.019651,0.0062097
