period,model,split,q_bucket,n,n_events,mean_model_p,freq,freq_lo,freq_hi,ratio_freq_to_p,ratio_lo,ratio_hi
validation,G-raw-2h,all,<0.2%,452628,2724,0.00075313,0.0060182,0.0053206,0.0067105,7.9909,7.0593,8.9128
validation,G-raw-2h,all,0.2-0.5%,150876,1482,0.0030872,0.0098226,0.0089077,0.010758,3.1817,2.8836,3.485
validation,G-raw-2h,all,0.5-1%,150876,1945,0.0063966,0.012891,0.011865,0.013983,2.0153,1.8552,2.1862
validation,G-raw-2h,all,1-2%,150876,2601,0.012527,0.017239,0.016055,0.018488,1.3762,1.2814,1.4762
validation,G-raw-2h,all,2-5%,301752,8515,0.031949,0.028219,0.026784,0.029732,0.88324,0.83841,0.93079
validation,G-raw-2h,all,5-10%,150876,7293,0.067618,0.048338,0.046545,0.050288,0.71486,0.68839,0.74386
validation,G-raw-2h,up,<0.2%,226314,1350,0.00075313,0.0059652,0.004868,0.0070922,7.9205,6.465,9.4229
validation,G-raw-2h,up,0.2-0.5%,75438,717,0.0030872,0.0095045,0.0080655,0.010981,3.0787,2.6116,3.5584
validation,G-raw-2h,up,0.5-1%,75438,961,0.0063966,0.012739,0.011082,0.014408,1.9915,1.7322,2.2534
validation,G-raw-2h,up,1-2%,75438,1274,0.012527,0.016888,0.015096,0.018726,1.3481,1.2046,1.495
validation,G-raw-2h,up,2-5%,150876,4126,0.031949,0.027347,0.02517,0.029704,0.85596,0.78779,0.92979
validation,G-raw-2h,up,5-10%,75438,3583,0.067618,0.047496,0.044785,0.050402,0.70241,0.66238,0.74552
validation,G-raw-2h,down,<0.2%,226314,1374,0.00075313,0.0060712,0.0051376,0.0071052,8.0613,6.8234,9.432
validation,G-raw-2h,down,0.2-0.5%,75438,765,0.0030872,0.010141,0.0088234,0.011639,3.2848,2.8571,3.7704
validation,G-raw-2h,down,0.5-1%,75438,984,0.0063966,0.013044,0.011569,0.014714,2.0392,1.8083,2.3011
validation,G-raw-2h,down,1-2%,75438,1327,0.012527,0.017591,0.015959,0.019538,1.4042,1.2735,1.5597
validation,G-raw-2h,down,2-5%,150876,4389,0.031949,0.02909,0.027067,0.0314,0.91052,0.84705,0.98318
validation,G-raw-2h,down,5-10%,75438,3710,0.067618,0.049179,0.046331,0.052168,0.72731,0.68526,0.77148
validation,G-raw-2h,tau_2-5m,<0.2%,150876,587,0.00080251,0.0038906,0.0032454,0.0045985,4.8481,4.0411,5.7334
validation,G-raw-2h,tau_2-5m,0.2-0.5%,50292,336,0.003246,0.006681,0.0057209,0.0076831,2.0582,1.7627,2.368
validation,G-raw-2h,tau_2-5m,0.5-1%,50292,447,0.0066723,0.0088881,0.0078226,0.0099856,1.3321,1.1717,1.4978
validation,G-raw-2h,tau_2-5m,1-2%,50292,604,0.012973,0.01201,0.010776,0.013294,0.92578,0.83002,1.0245
validation,G-raw-2h,tau_2-5m,2-5%,100584,2146,0.032747,0.021335,0.019819,0.023049,0.65152,0.60505,0.70376
validation,G-raw-2h,tau_2-5m,5-10%,50292,2039,0.068806,0.040543,0.038349,0.042893,0.58924,0.55732,0.62341
validation,G-raw-2h,tau_10-20m,<0.2%,150876,863,0.00073287,0.0057199,0.0048223,0.0066615,7.8048,6.5811,9.0905
validation,G-raw-2h,tau_10-20m,0.2-0.5%,50292,480,0.0030222,0.0095443,0.008406,0.010788,3.158,2.7811,3.5689
validation,G-raw-2h,tau_10-20m,0.5-1%,50292,634,0.006284,0.012606,0.011325,0.01403,2.0061,1.8019,2.2324
validation,G-raw-2h,tau_10-20m,1-2%,50292,861,0.012345,0.01712,0.015706,0.018876,1.3867,1.2721,1.529
validation,G-raw-2h,tau_10-20m,2-5%,100584,2841,0.031624,0.028245,0.026405,0.030172,0.89316,0.83487,0.95414
validation,G-raw-2h,tau_10-20m,5-10%,50292,2387,0.067136,0.047463,0.045171,0.050014,0.70697,0.67282,0.745
validation,G-raw-2h,tau_30-60m,<0.2%,150876,1274,0.00072402,0.008444,0.0072758,0.0095967,11.663,10.049,13.255
validation,G-raw-2h,tau_30-60m,0.2-0.5%,50292,666,0.0029934,0.013243,0.011789,0.0147,4.424,3.9382,4.9108
validation,G-raw-2h,tau_30-60m,0.5-1%,50292,864,0.0062335,0.01718,0.015487,0.01885,2.756,2.4844,3.0242
validation,G-raw-2h,tau_30-60m,1-2%,50292,1136,0.012263,0.022588,0.020766,0.024407,1.8419,1.6933,1.9902
validation,G-raw-2h,tau_30-60m,2-5%,100584,3528,0.031475,0.035075,0.033095,0.037152,1.1144,1.0515,1.1804
validation,G-raw-2h,tau_30-60m,5-10%,50292,2867,0.066913,0.057007,0.054437,0.059679,0.85196,0.81354,0.89186
validation,G-blend,all,<0.2%,535414,1973,0.00045339,0.003685,0.0031276,0.0042791,8.1276,6.9037,9.4703
validation,G-blend,all,0.2-0.5%,151926,1256,0.0033171,0.0082672,0.0074331,0.0091811,2.4923,2.2415,2.7671
validation,G-blend,all,0.5-1%,135056,1539,0.0072605,0.011395,0.010419,0.012518,1.5695,1.4356,1.7235
validation,G-blend,all,1-2%,151510,2595,0.014512,0.017128,0.015935,0.018528,1.1802,1.0983,1.2777
validation,G-blend,all,2-5%,211654,5940,0.03267,0.028065,0.02637,0.029873,0.85903,0.80734,0.91446
validation,G-blend,all,5-10%,126284,6546,0.070073,0.051836,0.049147,0.054516,0.73974,0.7011,0.77822
validation,G-blend,all,10-20%,44960,4509,0.12959,0.10029,0.093967,0.10605,0.77388,0.72565,0.81845
validation,G-blend,up,<0.2%,267707,913,0.00045339,0.0034104,0.0027254,0.0041228,7.5221,6.0203,9.1981
validation,G-blend,up,0.2-0.5%,75963,601,0.0033171,0.0079117,0.0067807,0.0091141,2.3851,2.0448,2.7486
validation,G-blend,up,0.5-1%,67528,761,0.0072605,0.011269,0.0098768,0.012809,1.5522,1.3599,1.7648
validation,G-blend,up,1-2%,75755,1288,0.014512,0.017002,0.015172,0.019034,1.1716,1.0449,1.3114
validation,G-blend,up,2-5%,105827,2910,0.03267,0.027498,0.024948,0.030203,0.84168,0.76401,0.92494
validation,G-blend,up,5-10%,63142,3176,0.070073,0.050299,0.046179,0.054411,0.71782,0.6592,0.77671
validation,G-blend,up,10-20%,22480,2257,0.12959,0.1004,0.089233,0.11104,0.77474,0.68897,0.85449
validation,G-blend,down,<0.2%,267707,1060,0.00045339,0.0039596,0.0031381,0.0048604,8.7332,6.884,10.708
validation,G-blend,down,0.2-0.5%,75963,655,0.0033171,0.0086226,0.0073653,0.010004,2.5994,2.219,3.0153
validation,G-blend,down,0.5-1%,67528,778,0.0072605,0.011521,0.010107,0.013118,1.5868,1.3919,1.8063
validation,G-blend,down,1-2%,75755,1307,0.014512,0.017253,0.015577,0.019278,1.1889,1.0729,1.3282
validation,G-blend,down,2-5%,105827,3030,0.03267,0.028632,0.026293,0.031372,0.87639,0.80474,0.96016
validation,G-blend,down,5-10%,63142,3370,0.070073,0.053372,0.049631,0.05754,0.76166,0.70781,0.82092
validation,G-blend,down,10-20%,22480,2252,0.12959,0.10018,0.090863,0.10953,0.77302,0.70402,0.84382
validation,G-blend,tau_2-5m,<0.2%,228208,640,0.00037009,0.0028045,0.00226,0.0033638,7.5778,6.094,9.1028
validation,G-blend,tau_2-5m,0.2-0.5%,48650,400,0.003302,0.008222,0.0071354,0.0093135,2.49,2.1628,2.8207
validation,G-blend,tau_2-5m,0.5-1%,41640,483,0.0072293,0.011599,0.010358,0.012939,1.6045,1.4331,1.7903
validation,G-blend,tau_2-5m,1-2%,44708,791,0.01446,0.017693,0.015964,0.019452,1.2236,1.1042,1.3452
validation,G-blend,tau_2-5m,2-5%,55506,1589,0.032143,0.028628,0.026435,0.031216,0.89063,0.82242,0.97128
validation,G-blend,tau_2-5m,5-10%,26158,1442,0.069007,0.055127,0.050877,0.060145,0.79885,0.7366,0.87149
validation,G-blend,tau_2-5m,10-20%,7614,792,0.1277,0.10402,0.092687,0.11501,0.81454,0.72596,0.90297
validation,G-blend,tau_10-20m,<0.2%,173666,700,0.00048007,0.0040307,0.0031679,0.0050204,8.3961,6.5968,10.462
