period,grid,group,level,model,n,n_days,brier,brier_lo,brier_hi,log_loss,ll_lo,ll_hi,d_ll_vs_base,d_ll_lo,d_ll_hi,d_brier_vs_base,d_brier_lo,d_brier_hi,citl,base,layout
validation,z,all,all,G-blend,1885950,366,0.079859,0.078806,0.080895,0.26523,0.26159,0.26887,0.0039519,0.0036058,0.0043162,0.00078905,0.00069373,0.00088795,0.00068878,flat|T-blend,flat
validation,z,all,all,T-blend,1885950,366,0.07907,0.077932,0.080185,0.26128,0.25752,0.26492,0,0,0,0,0,0,0.00068878,flat|T-blend,flat
validation,z,all,all,G-blend,1885950,366,0.079681,0.078629,0.08071,0.26436,0.26071,0.26786,0.003088,0.0026283,0.0035513,0.00061107,0.00050709,0.00071806,0.00068878,flat|T-blend,time_of_day/60m/UTC
validation,z,all,all,T-blend,1885950,366,0.078967,0.077829,0.080078,0.26065,0.2569,0.26431,-0.00062916,-0.00080068,-0.00045118,-0.0001024,-0.00012582,-7.7338e-05,0.00068878,flat|T-blend,time_of_day/60m/UTC
validation,z,all,all,G-blend,1885950,366,0.079521,0.078465,0.080574,0.26352,0.25986,0.26719,0.0022438,0.0017096,0.0027572,0.00045173,0.00034702,0.00056021,0.00068878,flat|T-blend,day_type/60m/UTC
validation,z,all,all,T-blend,1885950,366,0.078909,0.077769,0.080041,0.26019,0.25646,0.26387,-0.0010905,-0.0013574,-0.00083529,-0.00016066,-0.00019605,-0.00012303,0.00068878,flat|T-blend,day_type/60m/UTC
validation,z,all,all,G-blend,1885950,366,0.079566,0.07851,0.080621,0.26378,0.26012,0.26747,0.0025002,0.0019854,0.0030431,0.00049648,0.00039508,0.00060678,0.00068878,flat|T-blend,day_type/60m/ET
validation,z,all,all,T-blend,1885950,366,0.078922,0.077792,0.080049,0.2603,0.25657,0.26401,-0.00097242,-0.0012095,-0.00070075,-0.00014781,-0.00018121,-0.00010981,0.00068878,flat|T-blend,day_type/60m/ET
validation,z,all,all,G-blend,1885950,366,0.079526,0.078479,0.080585,0.26369,0.26005,0.26738,0.0024152,0.0018349,0.0030068,0.00045661,0.00034991,0.00057139,0.00068878,flat|T-blend,day_type/30m/ET
validation,z,all,all,T-blend,1885950,366,0.078886,0.077757,0.080013,0.26013,0.25638,0.26386,-0.0011448,-0.0014407,-0.00083362,-0.00018345,-0.00022367,-0.00014022,0.00068878,flat|T-blend,day_type/30m/ET
validation,z,all,all,G-blend,1885950,366,0.079515,0.078459,0.080571,0.26356,0.25992,0.26725,0.0022805,0.0017104,0.0028424,0.00044533,0.00034014,0.00055531,0.00068878,flat|T-blend,hour_of_week/60m/UTC
validation,z,all,all,T-blend,1885950,366,0.078912,0.077776,0.080043,0.26022,0.2565,0.26393,-0.0010538,-0.0013274,-0.00074151,-0.0001573,-0.00019528,-0.0001159,0.00068878,flat|T-blend,hour_of_week/60m/UTC
validation,z,all,all,G-blend,1885950,366,0.079524,0.078472,0.080576,0.26363,0.25996,0.26735,0.0023495,0.001809,0.0029349,0.00045423,0.00034775,0.00056442,0.00068878,flat|T-blend,hour_of_week/60m/ET
validation,z,all,all,T-blend,1885950,366,0.078908,0.077776,0.080028,0.26023,0.25652,0.26392,-0.0010475,-0.0013146,-0.00076156,-0.0001614,-0.0001979,-0.00012176,0.00068878,flat|T-blend,hour_of_week/60m/ET
validation,z,all,all,G-blend,1885950,366,0.079493,0.078445,0.08053,0.26359,0.25987,0.26722,0.0023087,0.0017025,0.0029656,0.0004228,0.00031207,0.00053509,0.00068878,flat|T-blend,hour_of_week/30m/ET
validation,z,all,all,T-blend,1885950,366,0.078877,0.07775,0.079984,0.26009,0.25637,0.26379,-0.0011911,-0.0015091,-0.00083007,-0.00019248,-0.00023571,-0.00014339,0.00068878,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,60m,G-blend,209550,366,0.087783,0.086255,0.089351,0.29267,0.28758,0.29785,0.0064504,0.0055924,0.0073121,0.0015261,0.00131,0.001761,0.0027869,flat|T-blend,flat
validation,z,tau,45m,G-blend,209550,366,0.086414,0.084831,0.087903,0.28685,0.28193,0.29181,0.0052138,0.0045079,0.0060107,0.0012343,0.0010433,0.0014386,0.0014984,flat|T-blend,flat
validation,z,tau,30m,G-blend,209550,366,0.08472,0.083284,0.086204,0.28142,0.27671,0.28646,0.0045222,0.0037816,0.005263,0.00093211,0.00075274,0.0011083,-0.0020425,flat|T-blend,flat
validation,z,tau,20m,G-blend,209550,366,0.079909,0.078528,0.081308,0.26635,0.26136,0.2712,0.0048868,0.0040652,0.0056688,0.0010114,0.00084638,0.0011793,0.00073968,flat|T-blend,flat
validation,z,tau,15m,G-blend,209550,366,0.080332,0.078987,0.081749,0.26591,0.26108,0.27076,0.0037427,0.0030663,0.0044732,0.0006779,0.00053748,0.00082352,-0.00013839,flat|T-blend,flat
validation,z,tau,10m,G-blend,209550,366,0.079627,0.078252,0.080834,0.26339,0.25859,0.26808,0.0028891,0.0022832,0.0035111,0.00051173,0.00039647,0.00063059,0.0015128,flat|T-blend,flat
validation,z,tau,5m,G-blend,209550,366,0.075245,0.073857,0.076558,0.24895,0.24417,0.25346,0.0024584,0.0019506,0.0029884,0.00043646,0.00033367,0.00054385,0.00042472,flat|T-blend,flat
validation,z,tau,3m,G-blend,209550,366,0.072806,0.07147,0.074134,0.2413,0.23668,0.24607,0.0022788,0.0016404,0.0028828,0.00035815,0.00025908,0.00046395,0.0009592,flat|T-blend,flat
validation,z,tau,2m,G-blend,209550,366,0.071894,0.070526,0.073208,0.24021,0.23522,0.24521,0.0031249,0.0024107,0.0039069,0.00041344,0.00030876,0.00052933,0.00045812,flat|T-blend,flat
validation,z,tau,60m,T-blend,209550,366,0.086257,0.084507,0.088041,0.28622,0.28056,0.29186,0,0,0,0,0,0,0.0027869,flat|T-blend,flat
validation,z,tau,45m,T-blend,209550,366,0.08518,0.08344,0.086876,0.28163,0.27609,0.28706,0,0,0,0,0,0,0.0014984,flat|T-blend,flat
validation,z,tau,30m,T-blend,209550,366,0.083787,0.082184,0.085417,0.2769,0.27177,0.28218,0,0,0,0,0,0,-0.0020425,flat|T-blend,flat
validation,z,tau,20m,T-blend,209550,366,0.078897,0.07738,0.080442,0.26147,0.25648,0.26629,0,0,0,0,0,0,0.00073968,flat|T-blend,flat
validation,z,tau,15m,T-blend,209550,366,0.079654,0.078209,0.081189,0.26217,0.25735,0.26715,0,0,0,0,0,0,-0.00013839,flat|T-blend,flat
validation,z,tau,10m,T-blend,209550,366,0.079116,0.077651,0.08043,0.2605,0.25572,0.26502,0,0,0,0,0,0,0.0015128,flat|T-blend,flat
