period,day_type,hour_et,factor
validation,weekday,0,0.789
validation,weekday,1,0.78705
validation,weekday,2,0.84904
validation,weekday,3,0.92113
validation,weekday,4,0.95042
validation,weekday,5,0.91807
validation,weekday,6,0.89417
validation,weekday,7,0.94105
validation,weekday,8,1.1696
validation,weekday,9,1.4999
validation,weekday,10,1.6368
validation,weekday,11,1.4136
validation,weekday,12,1.307
validation,weekday,13,1.1994
validation,weekday,14,1.2425
validation,weekday,15,1.2702
validation,weekday,16,1.137
validation,weekday,17,1.0514
validation,weekday,18,0.8858
validation,weekday,19,0.87997
validation,weekday,20,0.98849
validation,weekday,21,1.0205
validation,weekday,22,0.93037
validation,weekday,23,0.79351
validation,weekend,0,0.54325
validation,weekend,1,0.53902
validation,weekend,2,0.48801
validation,weekend,3,0.55947
validation,weekend,4,0.5134
validation,weekend,5,0.53456
validation,weekend,6,0.56197
validation,weekend,7,0.5981
validation,weekend,8,0.60781
validation,weekend,9,0.73255
validation,weekend,10,0.75074
validation,weekend,11,0.74096
validation,weekend,12,0.73771
validation,weekend,13,0.77825
validation,weekend,14,0.74395
validation,weekend,15,0.74011
validation,weekend,16,0.88021
validation,weekend,17,0.89875
validation,weekend,18,0.93916
validation,weekend,19,0.90884
validation,weekend,20,0.99491
validation,weekend,21,0.99147
validation,weekend,22,0.84264
validation,weekend,23,0.78447
validation,weekday_utc,0,1.0861
validation,weekday_utc,1,1.1239
validation,weekday_utc,2,1.0324
validation,weekday_utc,3,0.90316
validation,weekday_utc,4,0.79906
validation,weekday_utc,5,0.78392
validation,weekday_utc,6,0.82906
validation,weekday_utc,7,0.87843
validation,weekday_utc,8,0.94965
validation,weekday_utc,9,0.93063
validation,weekday_utc,10,0.88148
validation,weekday_utc,11,0.88363
validation,weekday_utc,12,1.1514
validation,weekday_utc,13,1.3665
validation,weekday_utc,14,1.6152
validation,weekday_utc,15,1.4867
validation,weekday_utc,16,1.3347
validation,weekday_utc,17,1.2443
validation,weekday_utc,18,1.226
validation,weekday_utc,19,1.239
validation,weekday_utc,20,1.1972
validation,weekday_utc,21,1.0869
validation,weekday_utc,22,0.95106
validation,weekday_utc,23,0.85696
validation,weekend_utc,0,0.72348
validation,weekend_utc,1,0.71875
validation,weekend_utc,2,0.62614
validation,weekend_utc,3,0.58037
validation,weekend_utc,4,0.5611
validation,weekend_utc,5,0.55255
validation,weekend_utc,6,0.50171
validation,weekend_utc,7,0.55146
validation,weekend_utc,8,0.51312
validation,weekend_utc,9,0.5333
validation,weekend_utc,10,0.56
validation,weekend_utc,11,0.56372
validation,weekend_utc,12,0.6113
validation,weekend_utc,13,0.67191
validation,weekend_utc,14,0.77883
validation,weekend_utc,15,0.74061
validation,weekend_utc,16,0.75603
validation,weekend_utc,17,0.78513
