tau_min,past_min,n,beta,beta_lo,beta_hi,corr,atm_dP_cents_1sd,atm_dP_cents_2sd,period
60,1,8382,-0.01169,-0.037208,0.014519,-0.0098792,-0.46636,-0.93272,validation
60,5,8382,-0.032306,-0.057934,-0.0053533,-0.028422,-1.2888,-2.5777,validation
60,15,8382,-0.032733,-0.057516,-0.0069696,-0.03005,-1.3058,-2.6117,validation
60,60,8382,-0.02101,-0.045061,0.0019701,-0.019919,-0.83817,-1.6763,validation
45,1,8382,0.029024,0.004935,0.055526,0.024943,1.1579,2.3158,validation
45,5,8382,0.016329,-0.0060319,0.039135,0.015608,0.65144,1.3029,validation
45,15,8382,0.010901,-0.010587,0.033724,0.010526,0.43488,0.86976,validation
45,60,8382,-0.0085363,-0.030305,0.01489,-0.0082273,-0.34055,-0.6811,validation
30,1,8382,-0.01618,-0.042275,0.012099,-0.013314,-0.64548,-1.291,validation
30,5,8382,-0.0069127,-0.032875,0.017379,-0.0059272,-0.27578,-0.55156,validation
30,15,8382,0.015362,-0.0071216,0.03913,0.014892,0.61285,1.2257,validation
30,60,8382,0.0032482,-0.022066,0.029057,0.0032006,0.12958,0.25917,validation
20,1,8382,0.00063219,-0.022334,0.022554,0.00058619,0.025221,0.050442,validation
20,5,8382,0.031344,0.006726,0.053792,0.031001,1.2505,2.5009,validation
20,15,8382,0.039144,0.013575,0.063589,0.036652,1.5616,3.1232,validation
20,60,8382,0.025285,-0.001314,0.051948,0.021986,1.0087,2.0175,validation
15,1,8382,-0.01352,-0.040528,0.014881,-0.01121,-0.53936,-1.0787,validation
15,5,8382,-0.0073479,-0.033901,0.020768,-0.0064618,-0.29314,-0.58628,validation
15,15,8382,0.047777,0.021688,0.075159,0.043711,1.906,3.8121,validation
15,60,8382,0.025603,0.00066315,0.054038,0.022122,1.0214,2.0428,validation
10,1,8382,0.010261,-0.015689,0.034049,0.009286,0.40937,0.81874,validation
10,5,8382,-0.0071678,-0.032996,0.019002,-0.0065795,-0.28596,-0.57191,validation
10,15,8382,0.0001144,-0.027399,0.025815,9.4582e-05,0.0045638,0.0091275,validation
10,60,8382,0.036282,0.0078989,0.065062,0.030742,1.4475,2.8949,validation
5,1,8382,0.01264,-0.011362,0.036536,0.011234,0.50426,1.0085,validation
5,5,8382,0.04128,0.015502,0.065198,0.039162,1.6468,3.2937,validation
5,15,8382,0.013387,-0.010944,0.036777,0.012255,0.53408,1.0682,validation
5,60,8382,0.041421,0.014797,0.068815,0.036989,1.6524,3.3049,validation
3,1,8382,-0.011834,-0.036448,0.013467,-0.010976,-0.47212,-0.94424,validation
3,5,8382,0.016887,-0.0095501,0.041453,0.015382,0.6737,1.3474,validation
3,15,8382,0.025734,-0.0020674,0.05107,0.023109,1.0267,2.0533,validation
3,60,8382,0.055082,0.028115,0.080784,0.048766,2.1975,4.3949,validation
2,1,8382,-0.013411,-0.037277,0.012847,-0.01209,-0.535,-1.07,validation
2,5,8382,-0.015617,-0.043251,0.012619,-0.01422,-0.62303,-1.2461,validation
2,15,8382,0.0051254,-0.022662,0.032772,0.0046557,0.20447,0.40895,validation
2,60,8382,0.04492,0.019812,0.071049,0.040518,1.7921,3.5841,validation
60,1,15005,-0.0020575,-0.024643,0.020008,-0.0016222,-0.082083,-0.16417,test
60,5,15005,-0.010554,-0.030483,0.009967,-0.0085978,-0.42104,-0.84208,test
60,15,15005,7.7665e-05,-0.018975,0.019082,6.9525e-05,0.0030984,0.0061968,test
60,60,15005,0.00695,-0.010728,0.024939,0.0063569,0.27726,0.55453,test
45,1,15005,0.01542,-0.0031314,0.035177,0.013578,0.61516,1.2303,test
45,5,15005,-0.0040296,-0.022952,0.014076,-0.0037796,-0.16076,-0.32152,test
45,15,15005,-0.0056139,-0.021548,0.011689,-0.0055619,-0.22396,-0.44792,test
45,60,15005,0.0088356,-0.0086484,0.026232,0.0079495,0.35249,0.70498,test
30,1,15005,0.023968,0.0020302,0.044943,0.019276,0.9562,1.9124,test
30,5,15005,0.01172,-0.008531,0.031813,0.010507,0.46758,0.93516,test
30,15,15005,-0.0042776,-0.021907,0.013874,-0.0040939,-0.17065,-0.3413,test
30,60,15005,0.0013546,-0.016596,0.019177,0.0012534,0.054043,0.10809,test
20,1,15005,-0.011368,-0.029469,0.0070444,-0.01072,-0.45351,-0.90702,test
20,5,15005,-0.0068873,-0.024857,0.010435,-0.0068814,-0.27476,-0.54952,test
20,15,15005,0.0040103,-0.012712,0.018958,0.0041001,0.15999,0.31998,test
20,60,15005,0.016613,-0.0018157,0.034543,0.014842,0.66275,1.3255,test
15,1,15005,0.014924,-0.0036317,0.034201,0.012732,0.59537,1.1907,test
15,5,15005,0.0026286,-0.015838,0.021212,0.0024314,0.10486,0.20973,test
15,15,15005,-0.0075673,-0.025477,0.0096161,-0.0075398,-0.30189,-0.60378,test
15,60,15005,0.0077247,-0.011801,0.026986,0.0070107,0.30817,0.61634,test
10,1,15005,0.0037418,-0.013838,0.020521,0.0035523,0.14928,0.29855,test
10,5,15005,-0.0017563,-0.019226,0.017368,-0.001704,-0.070065,-0.14013,test
10,15,15005,-0.010773,-0.02975,0.008993,-0.010421,-0.4298,-0.8596,test
10,60,15005,-0.0012924,-0.019527,0.020136,-0.001191,-0.051557,-0.10311,test
5,1,15005,-0.00662,-0.025016,0.010459,-0.0058545,-0.2641,-0.5282,test
5,5,15005,-0.00049688,-0.018317,0.017095,-0.00039226,-0.019823,-0.039646,test
5,15,15005,-0.0027058,-0.020868,0.015359,-0.0023937,-0.10795,-0.21589,test
5,60,15005,-0.0062044,-0.025264,0.012636,-0.0057511,-0.24752,-0.49504,test
3,1,15005,-0.0062508,-0.028954,0.015276,-0.0055067,-0.24937,-0.49874,test
3,5,15005,-0.02792,-0.045979,-0.0079074,-0.025776,-1.1138,-2.2277,test
3,15,15005,-0.018047,-0.036908,0.00097816,-0.016921,-0.71998,-1.44,test
3,60,15005,-0.0062538,-0.024766,0.01176,-0.0059181,-0.24949,-0.49898,test
2,1,15005,0.026658,0.0052269,0.047734,0.022777,1.0635,2.127,test
2,5,15005,-0.025043,-0.043463,-0.0057051,-0.022696,-0.99909,-1.9982,test
2,15,15005,-0.016433,-0.03503,0.0027261,-0.015511,-0.65559,-1.3112,test
2,60,15005,-0.0023257,-0.019451,0.014555,-0.0022408,-0.092783,-0.18557,test
