tau_min,past_min,d_log_loss,lo,hi,mean_abs_dp_cents,beta_train_mean,beta_train_sd,period
60,1,0.0002171,8.9023e-05,0.00034341,0.17164,0.011937,0.020328,validation
45,1,-3.2137e-05,-0.00018295,0.00012425,0.24642,0.026122,0.0086586,validation
30,1,-2.2501e-05,-0.00014222,9.786e-05,0.19063,-0.021111,0.0050759,validation
20,1,6.5972e-05,9.3958e-06,0.00012656,0.0867,0.0075709,0.0073237,validation
15,1,2.1778e-05,-3.1186e-05,7.7144e-05,0.078391,-0.007697,0.0072505,validation
10,1,6.5943e-05,-6.9143e-06,0.00013977,0.13231,0.012831,0.0066572,validation
5,1,-1.2189e-05,-0.00012523,9.2797e-05,0.17841,-0.015624,0.013833,validation
3,1,0.00010854,1.6139e-05,0.00021056,0.14824,0.00519,0.015813,validation
2,1,-4.8298e-05,-0.00016819,5.9008e-05,0.18311,-0.018328,0.0083172,validation
60,5,-0.00011041,-0.0001879,-3.3108e-05,0.09574,-0.0096881,0.007005,validation
45,5,9.6483e-05,-2.2305e-05,0.00022383,0.21659,0.018962,0.0081996,validation
30,5,-2.1917e-05,-0.0001541,0.00010186,0.22741,-0.021197,0.0070463,validation
20,5,-9.0531e-06,-0.00020262,0.00017779,0.33219,0.028667,0.0040892,validation
15,5,6.9038e-05,2.2416e-05,0.00011524,0.078776,0.0065257,0.0061993,validation
10,5,1.5582e-05,-0.00012787,0.00014902,0.24183,-0.021457,0.0075538,validation
5,5,-9.175e-05,-0.00020102,2.3371e-05,0.18447,0.0018027,0.020317,validation
3,5,6.7844e-05,-6.2862e-05,0.00020985,0.23155,0.021953,0.0078494,validation
2,5,4.4354e-05,-1.8695e-05,0.0001068,0.070509,-0.00033928,0.0095087,validation
60,15,-0.00014126,-0.00022621,-5.2649e-05,0.12344,-0.011439,0.0057298,validation
45,15,9.1936e-05,-3.7704e-08,0.00019439,0.18187,0.01525,0.0065616,validation
30,15,6.4805e-06,-4.931e-05,6.7123e-05,0.1042,0.0090169,0.0035549,validation
20,15,-5.144e-05,-0.00029314,0.00018722,0.44774,0.039721,0.0041738,validation
15,15,-0.00016765,-0.00042846,8.9834e-05,0.47578,0.042109,0.0054669,validation
10,15,2.5032e-05,-6.165e-05,0.00010731,0.12113,-0.010899,0.0070337,validation
5,15,1.1486e-05,-2.702e-05,4.7648e-05,0.055186,0.0031612,0.0059567,validation
3,15,9.3116e-05,-0.00010967,0.00029806,0.35004,0.0328,0.010235,validation
2,15,9.1373e-05,3.2307e-06,0.00017719,0.12586,0.010159,0.0098139,validation
60,1,1.8792e-05,-2.1926e-05,6.1671e-05,0.08629,0.0032971,0.011184,test
45,1,1.0491e-05,-9.4921e-05,0.00011073,0.19678,0.020903,0.010631,test
30,1,3.58e-05,-3.2733e-05,9.8879e-05,0.14163,0.0092653,0.016579,test
20,1,-5.0096e-07,-5.4565e-05,5.2191e-05,0.098095,-0.0052831,0.011857,test
15,1,1.9195e-05,-4.5089e-05,7.9901e-05,0.12207,0.0041323,0.015667,test
10,1,5.7212e-05,1.0352e-05,9.9296e-05,0.097904,0.009042,0.0056609,test
5,1,4.0474e-05,-3.5261e-05,0.00011527,0.16738,0.0043849,0.019823,test
3,1,3.827e-05,-1.6434e-05,9.0544e-05,0.092921,0.0021534,0.01159,test
2,1,-5.6868e-05,-0.00015757,4.2463e-05,0.13225,0.011163,0.020352,test
60,5,-5.5985e-05,-0.0001882,7.4771e-05,0.33026,-0.034023,0.016827,test
45,5,2.4074e-05,-2.9234e-05,7.9736e-05,0.11885,-0.0052351,0.011046,test
30,5,3.07e-05,-1.2724e-06,6.2124e-05,0.063633,0.00090922,0.0073357,test
20,5,7.5983e-05,-5.6991e-05,0.00019913,0.28443,0.013637,0.02372,test
15,5,3.7717e-05,-1.0141e-05,8.5347e-05,0.11086,-0.0034359,0.010961,test
10,5,1.4862e-05,-2.7353e-05,5.4594e-05,0.093652,-0.0014025,0.0094517,test
5,5,9.3452e-05,-2.8089e-05,0.0002129,0.27524,0.019151,0.022723,test
3,5,-5.4185e-05,-0.00013952,2.754e-05,0.17144,-0.011494,0.016518,test
2,5,-4.1007e-05,-0.00012254,4.3048e-05,0.18654,-0.018466,0.0071938,test
60,15,-3.1559e-05,-0.00017244,9.3324e-05,0.30341,-0.025666,0.017838,test
45,15,2.5514e-05,-1.4729e-05,6.3201e-05,0.085496,-0.0029807,0.008238,test
30,15,1.4808e-05,-5.0679e-05,7.9589e-05,0.16723,0.00099826,0.016019,test
20,15,7.9936e-05,-6.4548e-05,0.00022753,0.33581,0.023176,0.024679,test
15,15,0.000126,-1.9264e-05,0.00030643,0.33587,0.014475,0.031527,test
10,15,1.0865e-05,-4.5907e-05,6.4114e-05,0.11388,-0.0079288,0.0091579,test
5,15,4.4292e-05,-6.5549e-06,9.0906e-05,0.079195,0.0055207,0.0081028,test
3,15,5.2437e-05,3.0762e-06,0.00010093,0.11686,-0.0013103,0.012882,test
2,15,2.7853e-05,-5.7964e-06,5.8553e-05,0.065615,-0.0029046,0.0067813,test
