past_min,future_min,n,beta,t_nw,beta_lo,beta_hi,r2,atm_dP_cents_1sd,atm_dP_cents_2sd,period
1,1,526163,0.004309,2.5171,0.0009537,0.0076642,1.8566e-05,0.1719,0.34381,validation
1,2,526101,-0.00054065,-0.31725,-0.0038808,0.0027995,2.9103e-07,-0.021569,-0.043138,validation
1,5,525916,-0.00043984,-0.26533,-0.003689,0.0028093,1.9393e-07,-0.017547,-0.035094,validation
1,10,525616,-0.0038351,-2.2934,-0.0071127,-0.00055756,1.4807e-05,-0.153,-0.306,validation
1,30,524454,-0.0015492,-0.9596,-0.0047136,0.0016151,2.4517e-06,-0.061805,-0.12361,validation
2,1,526101,-0.00051927,-0.30231,-0.0038859,0.0028473,2.7078e-07,-0.020716,-0.041432,validation
2,2,526039,-0.0053013,-2.6545,-0.0092156,-0.001387,2.8101e-05,-0.21149,-0.42298,validation
2,5,525856,-0.0021592,-1.0074,-0.0063602,0.0020419,4.6933e-06,-0.086139,-0.17228,validation
2,10,525556,-0.0066146,-2.9202,-0.011054,-0.0021749,4.4237e-05,-0.26388,-0.52777,validation
2,30,524398,-0.0021896,-0.98459,-0.0065482,0.0021691,4.9185e-06,-0.087351,-0.1747,validation
3,1,526039,-0.0032116,-1.875,-0.0065688,0.00014563,1.0338e-05,-0.12812,-0.25625,validation
3,2,525977,-0.0055968,-2.6733,-0.0097002,-0.0014934,3.1262e-05,-0.22328,-0.44656,validation
3,5,525796,-0.0031048,-1.2555,-0.0079518,0.0017423,9.6864e-06,-0.12386,-0.24773,validation
3,10,525496,-0.0078116,-2.9045,-0.013083,-0.0025401,6.1584e-05,-0.31164,-0.62328,validation
3,30,524342,-0.0018151,-0.67881,-0.007056,0.0034258,3.3739e-06,-0.072412,-0.14482,validation
5,1,525916,-0.00047075,-0.27593,-0.0038145,0.002873,2.2107e-07,-0.01878,-0.03756,validation
5,2,525856,-0.0022364,-1.0202,-0.0065331,0.0020602,4.9687e-06,-0.08922,-0.17844,validation
5,5,525676,-0.0041388,-1.4272,-0.0098228,0.0015453,1.7135e-05,-0.16511,-0.33023,validation
5,10,525376,-0.0088814,-2.6924,-0.015347,-0.002416,7.9247e-05,-0.35432,-0.70863,validation
5,30,524230,-0.00098725,-0.29495,-0.0075478,0.0055733,9.9368e-07,-0.039386,-0.078771,validation
1,1,909816,0.03117,22.664,0.028474,0.033866,0.00097156,1.2435,2.487,test
1,2,909803,0.021209,15.278,0.018488,0.02393,0.00043623,0.84612,1.6922,test
1,5,909764,0.012492,9.1184,0.0098065,0.015177,0.00014895,0.49834,0.99668,test
1,10,909699,0.0064378,4.8484,0.0038352,0.0090403,3.9628e-05,0.25683,0.51366,test
1,30,909454,0.0020371,1.664,-0.00036232,0.0044365,4.014e-06,0.081267,0.16253,test
2,1,909803,0.020563,15.262,0.017922,0.023203,0.000436,0.82033,1.6407,test
2,2,909790,0.013649,8.5538,0.010521,0.016776,0.00018629,0.5445,1.089,test
2,5,909751,0.0069575,4.0555,0.003595,0.01032,4.7648e-05,0.27757,0.55513,test
2,10,909686,0.0018004,1.0477,-0.0015677,0.0051686,3.1961e-06,0.071827,0.14365,test
2,30,909443,-0.001112,-0.67994,-0.0043174,0.0020934,1.2334e-06,-0.044361,-0.088723,test
3,1,909790,0.016267,12.088,0.013629,0.018905,0.0002754,0.64896,1.2979,test
3,2,909777,0.010463,6.2846,0.0071997,0.013726,0.00011049,0.41741,0.83482,test
3,5,909738,0.0032484,1.6771,-0.00054794,0.0070448,1.0484e-05,0.12959,0.25919,test
3,10,909673,-0.00074869,-0.37591,-0.0046523,0.003155,5.5783e-07,-0.029868,-0.059737,test
3,30,909432,-0.0029472,-1.5166,-0.006756,0.00086156,8.7452e-06,-0.11758,-0.23515,test
5,1,909764,0.01192,9.0434,0.0093366,0.014504,0.00014885,0.47554,0.95108,test
5,2,909751,0.0068481,4.0236,0.0035122,0.010184,4.7644e-05,0.2732,0.5464,test
5,5,909712,-0.0017335,-0.79185,-0.0060244,0.0025574,3.0052e-06,-0.069158,-0.13832,test
5,10,909647,-0.0043278,-1.8274,-0.0089696,0.00031403,1.8762e-05,-0.17265,-0.34531,test
5,30,909410,-0.0052395,-2.1816,-0.0099467,-0.00053221,2.782e-05,-0.20902,-0.41805,test
