spot,state,k_fixed,var_time_s,sd_avg_usd,sd_remaining_usd,z,strike,tail_model,p_yes,delta_btc,hedge_notional_usd,gamma_per_usd,delta_change_per_1sd_btc,hedge_notional_per_100_usd,vol_label,sigma_ann
84541,T-60m,0,3560.5,291.6,291.6,-2,83958,gauss,0.97725,0.00018516,15.653,-1.2699e-06,-0.00037031,1565.3,current blend (32% ann.),0.32472
84541,T-60m,0,3560.5,291.6,291.6,-2,83958,student_t(4.39),0.97578,0.00012377,10.464,-7.1609e-07,-0.00020881,1046.4,current blend (32% ann.),0.32472
84541,T-60m,0,3560.5,291.6,291.6,-1,84249,gauss,0.84134,0.00082981,70.153,-2.8457e-06,-0.00082981,7015.3,current blend (32% ann.),0.32472
84541,T-60m,0,3560.5,291.6,291.6,-1,84249,student_t(4.39),0.87956,0.0006832,57.758,-3.7249e-06,-0.0010862,5775.8,current blend (32% ann.),0.32472
84541,T-60m,0,3560.5,291.6,291.6,-0.5,84395,gauss,0.69146,0.0012074,102.07,-2.0702e-06,-0.00060368,10207,current blend (32% ann.),0.32472
84541,T-60m,0,3560.5,291.6,291.6,-0.5,84395,student_t(4.39),0.73397,0.0013402,113.3,-4.6913e-06,-0.001368,11330,current blend (32% ann.),0.32472
84541,T-60m,0,3560.5,291.6,291.6,0,84541,gauss,0.5,0.0013681,115.66,0,0,11566,current blend (32% ann.),0.32472
84541,T-60m,0,3560.5,291.6,291.6,0,84541,student_t(4.39),0.5,0.0017523,148.14,0,0,14814,current blend (32% ann.),0.32472
84541,T-60m,0,3560.5,291.6,291.6,0.5,84686,gauss,0.30854,0.0012074,102.07,2.0702e-06,0.00060368,10207,current blend (32% ann.),0.32472
84541,T-60m,0,3560.5,291.6,291.6,0.5,84686,student_t(4.39),0.26603,0.0013402,113.3,4.6913e-06,0.001368,11330,current blend (32% ann.),0.32472
84541,T-60m,0,3560.5,291.6,291.6,1,84832,gauss,0.15866,0.00082981,70.153,2.8457e-06,0.00082981,7015.3,current blend (32% ann.),0.32472
84541,T-60m,0,3560.5,291.6,291.6,1,84832,student_t(4.39),0.12044,0.0006832,57.758,3.7249e-06,0.0010862,5775.8,current blend (32% ann.),0.32472
84541,T-60m,0,3560.5,291.6,291.6,2,85124,gauss,0.02275,0.00018516,15.653,1.2699e-06,0.00037031,1565.3,current blend (32% ann.),0.32472
84541,T-60m,0,3560.5,291.6,291.6,2,85124,student_t(4.39),0.024221,0.00012377,10.464,7.1609e-07,0.00020881,1046.4,current blend (32% ann.),0.32472
84541,T-30m,0,1760.5,205.04,205.04,-2,84131,gauss,0.97725,0.00026331,22.261,-2.5684e-06,-0.00052663,2226.1,current blend (32% ann.),0.32472
84541,T-30m,0,1760.5,205.04,205.04,-2,84131,student_t(4.39),0.97578,0.00017602,14.881,-1.4482e-06,-0.00029695,1488.1,current blend (32% ann.),0.32472
84541,T-30m,0,1760.5,205.04,205.04,-1,84336,gauss,0.84134,0.0011801,99.766,-5.7553e-06,-0.0011801,9976.6,current blend (32% ann.),0.32472
84541,T-30m,0,1760.5,205.04,205.04,-1,84336,student_t(4.39),0.87956,0.00097159,82.139,-7.5334e-06,-0.0015447,8213.9,current blend (32% ann.),0.32472
84541,T-30m,0,1760.5,205.04,205.04,-0.5,84438,gauss,0.69146,0.001717,145.16,-4.1869e-06,-0.00085851,14516,current blend (32% ann.),0.32472
84541,T-30m,0,1760.5,205.04,205.04,-0.5,84438,student_t(4.39),0.73397,0.001906,161.13,-9.4878e-06,-0.0019454,16113,current blend (32% ann.),0.32472
84541,T-30m,0,1760.5,205.04,205.04,0,84541,gauss,0.5,0.0019456,164.49,0,0,16449,current blend (32% ann.),0.32472
84541,T-30m,0,1760.5,205.04,205.04,0,84541,student_t(4.39),0.5,0.002492,210.67,0,0,21067,current blend (32% ann.),0.32472
84541,T-30m,0,1760.5,205.04,205.04,0.5,84643,gauss,0.30854,0.001717,145.16,4.1869e-06,0.00085851,14516,current blend (32% ann.),0.32472
84541,T-30m,0,1760.5,205.04,205.04,0.5,84643,student_t(4.39),0.26603,0.001906,161.13,9.4878e-06,0.0019454,16113,current blend (32% ann.),0.32472
84541,T-30m,0,1760.5,205.04,205.04,1,84746,gauss,0.15866,0.0011801,99.766,5.7553e-06,0.0011801,9976.6,current blend (32% ann.),0.32472
84541,T-30m,0,1760.5,205.04,205.04,1,84746,student_t(4.39),0.12044,0.00097159,82.139,7.5334e-06,0.0015447,8213.9,current blend (32% ann.),0.32472
84541,T-30m,0,1760.5,205.04,205.04,2,84951,gauss,0.02275,0.00026331,22.261,2.5684e-06,0.00052663,2226.1,current blend (32% ann.),0.32472
84541,T-30m,0,1760.5,205.04,205.04,2,84951,student_t(4.39),0.024221,0.00017602,14.881,1.4482e-06,0.00029695,1488.1,current blend (32% ann.),0.32472
84541,T-15m,0,860.5,143.35,143.35,-2,84254,gauss,0.97725,0.00037663,31.841,-5.2546e-06,-0.00075326,3184.1,current blend (32% ann.),0.32472
84541,T-15m,0,860.5,143.35,143.35,-2,84254,student_t(4.39),0.97578,0.00025177,21.285,-2.963e-06,-0.00042475,2128.5,current blend (32% ann.),0.32472
84541,T-15m,0,860.5,143.35,143.35,-1,84397,gauss,0.84134,0.0016879,142.7,-1.1775e-05,-0.0016879,14270,current blend (32% ann.),0.32472
84541,T-15m,0,860.5,143.35,143.35,-1,84397,student_t(4.39),0.87956,0.0013897,117.49,-1.5413e-05,-0.0022094,11749,current blend (32% ann.),0.32472
84541,T-15m,0,860.5,143.35,143.35,-0.5,84469,gauss,0.69146,0.0024559,207.63,-8.5661e-06,-0.001228,20763,current blend (32% ann.),0.32472
84541,T-15m,0,860.5,143.35,143.35,-0.5,84469,student_t(4.39),0.73397,0.0027262,230.48,-1.9411e-05,-0.0027826,23048,current blend (32% ann.),0.32472
84541,T-15m,0,860.5,143.35,143.35,0,84541,gauss,0.5,0.0027829,235.27,0,0,23527,current blend (32% ann.),0.32472
84541,T-15m,0,860.5,143.35,143.35,0,84541,student_t(4.39),0.5,0.0035644,301.33,0,0,30133,current blend (32% ann.),0.32472
84541,T-15m,0,860.5,143.35,143.35,0.5,84612,gauss,0.30854,0.0024559,207.63,8.5661e-06,0.001228,20763,current blend (32% ann.),0.32472
84541,T-15m,0,860.5,143.35,143.35,0.5,84612,student_t(4.39),0.26603,0.0027262,230.48,1.9411e-05,0.0027826,23048,current blend (32% ann.),0.32472
84541,T-15m,0,860.5,143.35,143.35,1,84684,gauss,0.15866,0.0016879,142.7,1.1775e-05,0.0016879,14270,current blend (32% ann.),0.32472
84541,T-15m,0,860.5,143.35,143.35,1,84684,student_t(4.39),0.12044,0.0013897,117.49,1.5413e-05,0.0022094,11749,current blend (32% ann.),0.32472
84541,T-15m,0,860.5,143.35,143.35,2,84827,gauss,0.02275,0.00037663,31.841,5.2546e-06,0.00075326,3184.1,current blend (32% ann.),0.32472
84541,T-15m,0,860.5,143.35,143.35,2,84827,student_t(4.39),0.024221,0.00025177,21.285,2.963e-06,0.00042475,2128.5,current blend (32% ann.),0.32472
84541,T-10m,0,560.5,115.7,115.7,-2,84309,gauss,0.97725,0.00046666,39.452,-8.067e-06,-0.00093332,3945.2,current blend (32% ann.),0.32472
84541,T-10m,0,560.5,115.7,115.7,-2,84309,student_t(4.39),0.97578,0.00031196,26.373,-4.5488e-06,-0.00052628,2637.3,current blend (32% ann.),0.32472
84541,T-10m,0,560.5,115.7,115.7,-1,84425,gauss,0.84134,0.0020914,176.81,-1.8077e-05,-0.0020914,17681,current blend (32% ann.),0.32472
84541,T-10m,0,560.5,115.7,115.7,-1,84425,student_t(4.39),0.87956,0.0017219,145.57,-2.3662e-05,-0.0027376,14557,current blend (32% ann.),0.32472
84541,T-10m,0,560.5,115.7,115.7,-0.5,84483,gauss,0.69146,0.003043,257.26,-1.3151e-05,-0.0015215,25726,current blend (32% ann.),0.32472
84541,T-10m,0,560.5,115.7,115.7,-0.5,84483,student_t(4.39),0.73397,0.0033779,285.57,-2.9801e-05,-0.0034478,28557,current blend (32% ann.),0.32472
84541,T-10m,0,560.5,115.7,115.7,0,84541,gauss,0.5,0.0034482,291.51,0,0,29151,current blend (32% ann.),0.32472
84541,T-10m,0,560.5,115.7,115.7,0,84541,student_t(4.39),0.5,0.0044164,373.37,0,0,37337,current blend (32% ann.),0.32472
84541,T-10m,0,560.5,115.7,115.7,0.5,84599,gauss,0.30854,0.003043,257.26,1.3151e-05,0.0015215,25726,current blend (32% ann.),0.32472
84541,T-10m,0,560.5,115.7,115.7,0.5,84599,student_t(4.39),0.26603,0.0033779,285.57,2.9801e-05,0.0034478,28557,current blend (32% ann.),0.32472
84541,T-10m,0,560.5,115.7,115.7,1,84656,gauss,0.15866,0.0020914,176.81,1.8077e-05,0.0020914,17681,current blend (32% ann.),0.32472
84541,T-10m,0,560.5,115.7,115.7,1,84656,student_t(4.39),0.12044,0.0017219,145.57,2.3662e-05,0.0027376,14557,current blend (32% ann.),0.32472
