tau_s,z_exact,var_time_exact_s,var_time_naive_s,sd_ratio_exact_over_naive,p_exact_cents,p_naive_cents,naive_error_cents,atm_delta_ratio_exact_over_naive
3600,0.5,3560.5,3600,0.9945,30.854,30.951,0.0969,1.0055
3600,1,3560.5,3600,0.9945,15.866,15.999,0.13347,1.0055
3600,2,3560.5,3600,0.9945,2.275,2.3351,0.060056,1.0055
1800,0.5,1760.5,1800,0.98897,30.854,31.048,0.19447,1.0112
1800,1,1760.5,1800,0.98897,15.866,16.134,0.26842,1.0112
1800,2,1760.5,1800,0.98897,2.275,2.3968,0.12179,1.0112
600,0.5,560.5,600,0.96653,30.854,31.445,0.59171,1.0346
600,1,560.5,600,0.96653,15.866,16.689,0.82354,1.0346
600,2,560.5,600,0.96653,2.275,2.6615,0.38648,1.0346
300,0.5,260.5,300,0.93185,30.854,32.063,1.2097,1.0731
300,1,260.5,300,0.93185,15.866,17.571,1.7052,1.0731
300,2,260.5,300,0.93185,2.275,3.1182,0.84319,1.0731
120,0.5,80.503,120,0.81906,30.854,34.108,3.2538,1.2209
120,1,80.503,120,0.81906,15.866,20.638,4.7721,1.2209
120,2,80.503,120,0.81906,2.275,5.0699,2.7949,1.2209
90,0.5,50.503,90,0.74909,30.854,35.4,4.5461,1.3349
90,1,50.503,90,0.74909,15.866,22.69,6.8245,1.3349
90,2,50.503,90,0.74909,2.275,6.7042,4.4292,1.3349
60,0.5,20.503,60,0.58456,30.854,38.504,7.6498,1.7107
60,1,20.503,60,0.58456,15.866,27.942,12.077,1.7107
60,2,20.503,60,0.58456,2.275,12.118,9.8427,1.7107
