period,grid,group,level,model,n,n_days,brier,brier_lo,brier_hi,log_loss,ll_lo,ll_hi,d_ll_vs_base,d_ll_lo,d_ll_hi,d_brier_vs_base,d_brier_lo,d_brier_hi,citl,base,variant
test,z,all,all,G-raw-2h,3376125,632,0.078963,0.078175,0.079684,0.26511,0.26252,0.26767,0.0092939,0.0084821,0.010062,0.0017009,0.0015963,0.0018132,-0.0002451,G-blend,bootstrap blocks = day
test,z,all,all,G-blend,3376125,632,0.077262,0.076479,0.077995,0.25581,0.25312,0.25844,0,0,0,0,0,0,-0.0002451,G-blend,bootstrap blocks = day
test,z,all,all,T-blend,3376125,632,0.076751,0.075927,0.077514,0.25296,0.25023,0.25552,-0.0028492,-0.0031101,-0.0026113,-0.0005112,-0.00056226,-0.00046123,-0.0002451,G-blend,bootstrap blocks = day
test,z,all,all,MIX-blend,3376125,632,0.076759,0.07594,0.07752,0.25308,0.25039,0.25561,-0.0027287,-0.0029805,-0.0024875,-0.00050238,-0.0005514,-0.00045462,-0.0002451,G-blend,bootstrap blocks = day
test,z,all,all,EMP-blend,3376125,632,0.076775,0.075947,0.077534,0.25305,0.25035,0.25563,-0.0027572,-0.0030151,-0.0025084,-0.00048704,-0.00053318,-0.00043996,0.00044823,G-blend,bootstrap blocks = day
test,z,all,all,G-raw-2h,3376125,92,0.078963,0.078225,0.079718,0.26511,0.26274,0.26739,0.0092939,0.0084302,0.010192,0.0017009,0.0015717,0.0018302,-0.0002451,G-blend,bootstrap blocks = week
test,z,all,all,G-blend,3376125,92,0.077262,0.076465,0.07806,0.25581,0.25328,0.25835,0,0,0,0,0,0,-0.0002451,G-blend,bootstrap blocks = week
test,z,all,all,T-blend,3376125,92,0.076751,0.075913,0.077589,0.25296,0.25043,0.25556,-0.0028492,-0.0031308,-0.0025969,-0.0005112,-0.00056752,-0.00045837,-0.0002451,G-blend,bootstrap blocks = week
test,z,all,all,MIX-blend,3376125,92,0.076759,0.075922,0.077594,0.25308,0.25057,0.25567,-0.0027287,-0.0030079,-0.0024848,-0.00050238,-0.00055527,-0.00045168,-0.0002451,G-blend,bootstrap blocks = week
test,z,all,all,EMP-blend,3376125,92,0.076775,0.075934,0.077617,0.25305,0.2505,0.25565,-0.0027572,-0.0030282,-0.0024982,-0.00048704,-0.00054006,-0.00043686,0.00044823,G-blend,bootstrap blocks = week
test,z,all,all,G-raw-2h,3376125,22,0.078963,0.077728,0.080151,0.26511,0.26168,0.26851,0.0092939,0.0083506,0.010341,0.0017009,0.0015442,0.0018816,-0.0002451,G-blend,bootstrap blocks = month(30d)
test,z,all,all,G-blend,3376125,22,0.077262,0.075905,0.078543,0.25581,0.25179,0.25962,0,0,0,0,0,0,-0.0002451,G-blend,bootstrap blocks = month(30d)
test,z,all,all,T-blend,3376125,22,0.076751,0.0753,0.078102,0.25296,0.24876,0.25699,-0.0028492,-0.0032053,-0.0024208,-0.0005112,-0.00060612,-0.00041551,-0.0002451,G-blend,bootstrap blocks = month(30d)
test,z,all,all,MIX-blend,3376125,22,0.076759,0.075312,0.078108,0.25308,0.24891,0.25706,-0.0027287,-0.0030689,-0.0023214,-0.00050238,-0.00059454,-0.00040894,-0.0002451,G-blend,bootstrap blocks = month(30d)
test,z,all,all,EMP-blend,3376125,22,0.076775,0.075326,0.078139,0.25305,0.24885,0.25709,-0.0027572,-0.0031072,-0.0023505,-0.00048704,-0.00058139,-0.00039686,0.00044823,G-blend,bootstrap blocks = month(30d)
test,z,all,all,G-blend,3409200,632,0.077108,0.076326,0.077827,0.25535,0.25269,0.25796,0,0,0,0,0,0,-0.00021207,G-blend,incl. no-trade settlement minutes
test,z,all,all,T-blend,3409200,632,0.076613,0.07579,0.07737,0.25252,0.24985,0.25513,-0.0028235,-0.0030836,-0.002587,-0.00049435,-0.00054404,-0.00044403,-0.00021207,G-blend,incl. no-trade settlement minutes
test,z,tau,60m,G-blend,378800,632,0.086504,0.085401,0.087608,0.28473,0.28092,0.28858,0,0,0,0,0,0,-0.00030623,G-blend,incl. no-trade settlement minutes
test,z,tau,45m,G-blend,378800,632,0.084773,0.083703,0.085853,0.27926,0.27585,0.28293,0,0,0,0,0,0,-0.0010111,G-blend,incl. no-trade settlement minutes
test,z,tau,30m,G-blend,378800,632,0.084034,0.082926,0.085136,0.27633,0.27256,0.28007,0,0,0,0,0,0,-0.0007339,G-blend,incl. no-trade settlement minutes
test,z,tau,20m,G-blend,378800,632,0.079111,0.078016,0.080245,0.26174,0.25795,0.26571,0,0,0,0,0,0,0.0012328,G-blend,incl. no-trade settlement minutes
test,z,tau,15m,G-blend,378800,632,0.078476,0.077455,0.079595,0.25884,0.25522,0.26293,0,0,0,0,0,0,0.00064414,G-blend,incl. no-trade settlement minutes
test,z,tau,10m,G-blend,378800,632,0.076516,0.075579,0.077539,0.25281,0.24949,0.2563,0,0,0,0,0,0,-1.5839e-05,G-blend,incl. no-trade settlement minutes
test,z,tau,5m,G-blend,378800,632,0.070484,0.069472,0.071489,0.23425,0.2308,0.23787,0,0,0,0,0,0,-0.0019615,G-blend,incl. no-trade settlement minutes
test,z,tau,3m,G-blend,378800,632,0.067762,0.066825,0.068743,0.22724,0.22366,0.23088,0,0,0,0,0,0,0.00043823,G-blend,incl. no-trade settlement minutes
test,z,tau,2m,G-blend,378800,632,0.066308,0.065293,0.067276,0.22291,0.21933,0.22668,0,0,0,0,0,0,-0.00019535,G-blend,incl. no-trade settlement minutes
test,z,tau,60m,T-blend,378800,632,0.08601,0.084831,0.087158,0.28193,0.27808,0.28577,-0.0028039,-0.0032902,-0.0023604,-0.00049453,-0.00059155,-0.00040012,-0.00030623,G-blend,incl. no-trade settlement minutes
test,z,tau,45m,T-blend,378800,632,0.084247,0.08312,0.085388,0.27653,0.27301,0.28018,-0.0027386,-0.0031669,-0.0023426,-0.00052597,-0.00061642,-0.00043566,-0.0010111,G-blend,incl. no-trade settlement minutes
