contracts_per_fill,fee_bps,p_informed,policy,param,hours,mean_net,sd_net,mean_hedge_cost,turnover_btc_per_h,contracts_per_h,cost_c_per_contract,se_mean,util_lam0.0001,util_lam0.001,util_lam0.01
10,0.6,0,band,0.02,14967,-2.44603,8.71824,2.46335,0.254464,199.248,1.23632,0.0803887,-2.44983,-2.48403,-2.82607
10,0.6,0,band,0.05,14967,-1.7289,11.2327,1.67539,0.173901,199.248,0.84086,0.0971389,-1.73521,-1.79199,-2.35977
10,0.6,0,band,0.1,14967,-1.17055,13.124,1.05834,0.110835,199.248,0.531169,0.110814,-1.17917,-1.25668,-2.03176
10,0.6,0,band,0.25,14967,-0.597597,14.1089,0.419824,0.0449937,199.248,0.210705,0.11725,-0.60755,-0.697127,-1.5929
10,0.6,0,band,0.5,14967,-0.327145,14.3139,0.144683,0.0160511,199.248,0.0726146,0.118293,-0.33739,-0.429589,-1.35158
10,0.6,0,continuous,0,14967,-4.65544,7.27341,4.69103,0.481484,199.248,2.35437,0.0745832,-4.65809,-4.6819,-4.91996
10,0.6,0,fill_only,0,14967,-2.11439,10.9975,1.99657,0.204887,199.248,1.00206,0.0953043,-2.12044,-2.17486,-2.71912
10,0.6,0,mv_band,0.0001,14967,-0.184905,14.3917,0,0,199.248,0,0.119047,-0.195261,-0.288465,-1.2205
10,0.6,0,mv_band,0.001,14967,-0.186925,14.3744,0.000331254,3.4575e-05,199.248,0.000166252,0.118861,-0.197257,-0.290237,-1.22004
10,0.6,0,mv_band,0.01,14967,-0.412581,11.7328,0.286275,0.0299531,199.248,0.143678,0.0987741,-0.419464,-0.48141,-1.10088
10,0.6,0,none,0,14967,-0.184905,14.3917,0,0,199.248,0,0.119047,-0.195261,-0.288465,-1.2205
10,0.6,0,timed,5,14967,-2.23842,9.03444,2.21705,0.228196,199.248,1.11271,0.0792472,-2.2425,-2.27923,-2.64653
10,0.6,0,timed,15,14967,-1.21751,11.1914,1.10327,0.113972,199.248,0.553717,0.0959948,-1.22377,-1.28014,-1.84375
10,5,0,band,0.02,14967,-12.2994,15.035,12.3167,0.254464,199.248,6.18162,0.20686,-12.3107,-12.4125,-13.4297
10,5,0,band,0.05,14967,-8.43048,15.784,8.37697,0.173901,199.248,4.2043,0.190747,-8.44294,-8.55505,-9.67616
10,5,0,band,0.1,14967,-5.40392,16.3798,5.29171,0.110835,199.248,2.65584,0.180167,-5.41733,-5.53807,-6.74541
10,5,0,band,0.25,14967,-2.27689,15.8145,2.09912,0.0449937,199.248,1.05352,0.155098,-2.2894,-2.40194,-3.52739
10,5,0,band,0.5,14967,-0.905877,15.0523,0.723415,0.0160511,199.248,0.363073,0.133949,-0.917205,-1.01916,-2.03873
10,5,0,continuous,0,14967,-23.4196,15.983,23.4552,0.481484,199.248,11.7719,0.259138,-23.4323,-23.5473,-24.6969
10,5,0,fill_only,0,14967,-10.1007,11.7841,9.98287,0.204887,199.248,5.01028,0.132991,-10.1076,-10.1701,-10.795
10,5,0,mv_band,0.0001,14967,-0.184905,14.3917,0,0,199.248,0,0.119047,-0.195261,-0.288465,-1.2205
10,5,0,mv_band,0.001,14967,-0.184905,14.3917,0,0,199.248,0,0.119047,-0.195261,-0.288465,-1.2205
10,5,0,mv_band,0.01,14967,-0.20903,14.2394,0.0294832,0.000637565,199.248,0.0147973,0.117826,-0.219168,-0.31041,-1.22283
10,5,0,none,0,14967,-0.184905,14.3917,0,0,199.248,0,0.119047,-0.195261,-0.288465,-1.2205
10,5,0,timed,5,14967,-11.1066,10.8211,11.0853,0.228196,199.248,5.56356,0.14948,-11.1125,-11.1652,-11.6921
10,5,0,timed,15,14967,-5.63059,11.6775,5.51634,0.113972,199.248,2.76859,0.118425,-5.6374,-5.69877,-6.31241
10,12,0,band,0.02,14967,-27.9753,29.7182,27.9926,0.254464,199.248,14.0491,0.449369,-28.0194,-28.4169,-32.3911
10,12,0,band,0.05,14967,-19.0921,28.1104,19.0386,0.173901,199.248,9.55523,0.395146,-19.1316,-19.4872,-23.0431
10,12,0,band,0.1,14967,-12.1388,26.3674,12.0266,0.110835,199.248,6.03601,0.350665,-12.1736,-12.4864,-15.615
10,12,0,band,0.25,14967,-4.94851,21.9425,4.77073,0.0449937,199.248,2.39437,0.266643,-4.97258,-5.18924,-7.35588
10,12,0,band,0.5,14967,-1.82659,18.093,1.64412,0.0160511,199.248,0.825166,0.192971,-1.84295,-1.99027,-3.46337
10,12,0,continuous,0,14967,-53.2716,33.7673,53.3072,0.481484,199.248,26.7542,0.579646,-53.3286,-53.8417,-58.9727
10,12,0,fill_only,0,14967,-22.8061,14.7384,22.6883,0.204887,199.248,11.387,0.23597,-22.817,-22.9148,-23.8923
10,12,0,mv_band,0.0001,14967,-0.184905,14.3917,0,0,199.248,0,0.119047,-0.195261,-0.288465,-1.2205
10,12,0,mv_band,0.001,14967,-0.184905,14.3917,0,0,199.248,0,0.119047,-0.195261,-0.288465,-1.2205
10,12,0,mv_band,0.01,14967,-0.189904,14.3805,0.00216249,2.00213e-05,199.248,0.00108533,0.118937,-0.200243,-0.293303,-1.2239
10,12,0,none,0,14967,-0.184905,14.3917,0,0,199.248,0,0.119047,-0.195261,-0.288465,-1.2205
10,12,0,timed,5,14967,-25.2151,16.5371,25.1938,0.228196,199.248,12.6444,0.303548,-25.2288,-25.3519,-26.5825
10,12,0,timed,15,14967,-12.6514,13.5936,12.5371,0.113972,199.248,6.29224,0.186174,-12.6606,-12.7438,-13.5753
10,0.6,0.3,band,0.02,14967,-4.75661,8.79346,2.50999,0.258538,200.025,1.25483,0.0808024,-4.76048,-4.79527,-5.14324
10,0.6,0.3,band,0.05,14967,-4.91403,11.3859,1.7076,0.176441,200.025,0.853692,0.102397,-4.92051,-4.97885,-5.56222
10,0.6,0.3,band,0.1,14967,-4.68526,13.3417,1.08282,0.112522,200.025,0.54134,0.117548,-4.69416,-4.77426,-5.57526
10,0.6,0.3,band,0.25,14967,-4.19882,14.4076,0.4293,0.0453271,200.025,0.214623,0.125476,-4.2092,-4.30261,-5.23672
10,0.6,0.3,band,0.5,14967,-3.93972,14.5984,0.147235,0.0161316,200.025,0.0736082,0.127347,-3.95038,-4.04628,-5.00529
10,0.6,0.3,continuous,0,14967,-4.77957,7.24418,4.74798,0.486692,200.025,2.37369,0.0736841,-4.7822,-4.80581,-5.04197
10,0.6,0.3,fill_only,0,14967,-2.18344,11.0652,2.02774,0.207861,200.025,1.01374,0.0906612,-2.18956,-2.24466,-2.79563
10,0.6,0.3,mv_band,0.0001,14967,-3.79277,14.6391,0,0,200.025,0,0.129186,-3.80348,-3.89992,-4.86429
10,0.6,0.3,mv_band,0.001,14967,-3.78753,14.6015,0.000587752,6.3509e-05,200.025,0.000293838,0.128615,-3.79819,-3.89413,-4.85355
10,0.6,0.3,mv_band,0.01,14967,-3.31589,11.707,0.308615,0.0322675,200.025,0.154288,0.100769,-3.32274,-3.38441,-4.00115
10,0.6,0.3,none,0,14967,-3.79277,14.6391,0,0,200.025,0,0.129186,-3.80348,-3.89992,-4.86429
10,0.6,0.3,timed,5,14967,-3.76964,8.93758,2.25202,0.2314,200.025,1.12587,0.075164,-3.77363,-3.80958,-4.16904
10,0.6,0.3,timed,15,14967,-4.25826,11.2182,1.11875,0.115306,200.025,0.559306,0.0967733,-4.26455,-4.32119,-4.8875
10,5,0.3,band,0.02,14967,-14.7966,14.9324,12.5499,0.258538,200.025,6.27417,0.191597,-14.8077,-14.908,-15.9114
10,5,0.3,band,0.05,14967,-11.7444,15.7559,8.538,0.176441,200.025,4.26846,0.174668,-11.7568,-11.8686,-12.9857
10,5,0.3,band,0.1,14967,-9.01653,16.5123,5.41409,0.112522,200.025,2.7067,0.168067,-9.03016,-9.15286,-10.3798
10,5,0.3,band,0.25,14967,-5.91602,16.1226,2.1465,0.0453271,200.025,1.07311,0.149016,-5.92901,-6.04599,-7.2157
10,5,0.3,band,0.5,14967,-4.52866,15.3471,0.736176,0.0161316,200.025,0.368041,0.134202,-4.54044,-4.64643,-5.70634
10,5,0.3,continuous,0,14967,-23.7715,16.0268,23.7399,0.486692,200.025,11.8684,0.260484,-23.7843,-23.8999,-25.0558
10,5,0.3,fill_only,0,14967,-10.2944,11.87,10.1387,0.207861,200.025,5.06871,0.129808,-10.3014,-10.3648,-10.9989
10,5,0.3,mv_band,0.0001,14967,-3.79277,14.6391,0,0,200.025,0,0.129186,-3.80348,-3.89992,-4.86429
10,5,0.3,mv_band,0.001,14967,-3.79277,14.6391,0,0,200.025,0,0.129186,-3.80348,-3.89992,-4.86429
10,5,0.3,mv_band,0.01,14967,-3.79259,14.3988,0.0351414,0.000773018,200.025,0.0175685,0.127391,-3.80295,-3.89625,-4.82921
10,5,0.3,none,0,14967,-3.79277,14.6391,0,0,200.025,0,0.129186,-3.80348,-3.89992,-4.86429
10,5,0.3,timed,5,14967,-12.7777,10.7006,11.2601,0.2314,200.025,5.62934,0.139336,-12.7835,-12.835,-13.3502
10,5,0.3,timed,15,14967,-8.73328,11.6604,5.59377,0.115306,200.025,2.79653,0.107559,-8.74008,-8.80126,-9.4131
10,12,0.3,band,0.02,14967,-30.7692,29.5477,28.5226,0.258538,200.025,14.2595,0.428257,-30.8129,-31.2057,-35.1345
10,12,0.3,band,0.05,14967,-22.611,27.8627,19.4046,0.176441,200.025,9.70105,0.36791,-22.6498,-22.9991,-26.4926
10,12,0.3,band,0.1,14967,-15.9072,26.2416,12.3048,0.112522,200.025,6.1516,0.323789,-15.9416,-16.2515,-19.3503
10,12,0.3,band,0.25,14967,-8.64793,22.0308,4.87841,0.0453271,200.025,2.4389,0.241074,-8.6722,-8.89061,-11.0747
10,12,0.3,band,0.5,14967,-5.46561,18.2263,1.67313,0.0161316,200.025,0.836457,0.174705,-5.48222,-5.63171,-7.1266
10,12,0.3,continuous,0,14967,-53.9859,33.8886,53.9543,0.486692,200.025,26.9737,0.582411,-54.0433,-54.5601,-59.7281
10,12,0.3,fill_only,0,14967,-23.1982,14.9084,23.0425,0.207861,200.025,11.5198,0.237074,-23.2093,-23.3093,-24.3095
10,12,0.3,mv_band,0.0001,14967,-3.79277,14.6391,0,0,200.025,0,0.129186,-3.80348,-3.89992,-4.86429
10,12,0.3,mv_band,0.001,14967,-3.79277,14.6391,0,0,200.025,0,0.129186,-3.80348,-3.89992,-4.86429
10,12,0.3,mv_band,0.01,14967,-3.79127,14.6164,0.00352772,3.35218e-05,200.025,0.00176364,0.128898,-3.80195,-3.89809,-4.85946
10,12,0.3,none,0,14967,-3.79277,14.6391,0,0,200.025,0,0.129186,-3.80348,-3.89992,-4.86429
10,12,0.3,timed,5,14967,-27.1088,16.4202,25.5912,0.2314,200.025,12.794,0.29085,-27.1223,-27.2436,-28.4569
10,12,0.3,timed,15,14967,-15.8526,13.4857,12.7131,0.115306,200.025,6.35575,0.166168,-15.8617,-15.9436,-16.7619
50,0.6,0,band,0.02,14967,-18.3247,36.9298,18.54,1.90767,996.238,1.861,0.363701,-18.3929,-19.0066,-25.1438
50,0.6,0,band,0.05,14967,-14.9842,39.0071,15.1758,1.56465,996.238,1.52331,0.37123,-15.0602,-15.745,-22.592
50,0.6,0,band,0.1,14967,-12.2301,43.5912,12.3167,1.27232,996.238,1.23632,0.401943,-12.3252,-13.1802,-21.7311
50,0.6,0,band,0.25,14967,-8.64452,56.1633,8.37697,0.869507,996.238,0.84086,0.485695,-8.80224,-10.2217,-24.4161
50,0.6,0,band,0.5,14967,-5.85277,65.6202,5.29171,0.554173,996.238,0.531169,0.554071,-6.06808,-8.00578,-27.3828
50,0.6,0,continuous,0,14967,-23.2772,36.367,23.4552,2.40742,996.238,2.35437,0.372916,-23.3433,-23.9385,-29.89
50,0.6,0,fill_only,0,14967,-10.572,54.9877,9.98287,1.02443,996.238,1.00206,0.476522,-10.7231,-12.0838,-25.6902
50,0.6,0,mv_band,0.0001,14967,-0.926818,71.9515,7.86913e-05,7.49091e-06,996.238,7.89884e-06,0.595199,-1.18567,-3.51533,-26.8119
50,0.6,0,mv_band,0.001,14967,-1.04522,66.3174,0.395464,0.0418948,996.238,0.0396958,0.552777,-1.26512,-3.24422,-23.0352
50,0.6,0,mv_band,0.01,14967,-8.61347,40.5718,8.40729,0.870912,996.238,0.843904,0.344568,-8.69578,-9.43651,-16.8438
50,0.6,0,none,0,14967,-0.924523,71.9583,0,0,996.238,0,0.595234,-1.18342,-3.51352,-26.8145
50,0.6,0,timed,5,14967,-11.1921,45.1722,11.0853,1.14098,996.238,1.11271,0.396236,-11.2941,-12.2124,-21.3947
